Iteration,Setpoint Average,Resources Harvested,Net Reward,Standard Deviation for Setpoints,Duration (seconds),,
1,0,0,0.0,0,0,,
2,-59,1,1250.217014,54,8,,
3,-50,3,9032.27291,44,11,,
4,-54,1,3446.737581,45,8,,
5,-47,2,2295.277473,51,8,,
6,-57,1,171.669268,48,7,,
7,-54,3,1362.954105,48,8,,
8,-52,1,1553.533351,52,8,,
9,-57,1,1511.271146,50,8,,
10,-54,0,917.217238,42,6,,
11,-56,2,488.502288,47,7,,
12,-49,5,5090.283276,46,11,,
13,-56,3,294.691598,53,8,,
14,-55,0,95.217484,42,6,,
15,-55,0,260.100247,42,6,,
16,-59,1,1324.365329,53,8,,
17,-56,2,162.097286,46,7,,
18,-47,3,6099.554765,57,11,,
19,-45,2,4283.373236,51,8,,
20,-55,0,239.528568,42,6,,
21,-58,1,367.837405,50,7,,
22,-54,0,241.644615,42,6,,
23,-52,1,1490.814147,41,7,,
24,-52,3,5021.520418,51,11,,
25,-55,0,1000.036593,42,6,,
26,-48,1,4217.839799,47,8,,
27,-54,2,5975.009393,44,8,,
28,-50,1,2057.699901,50,8,,
29,-50,2,3766.373251,39,8,,
30,-54,0,502.410362,41,6,,
31,-49,2,3861.511693,46,9,,
32,-55,0,321.403028,42,6,,
33,-55,0,218.214492,42,6,,
34,-54,1,582.398077,46,7,,
35,-55,0,391.083482,42,6,,
36,-45,2,5686.543027,57,9,,
37,-55,0,128.596016,43,6,,
38,-55,3,1494.524502,50,9,,
39,-55,0,455.414593,42,6,,
40,-54,1,377.764693,43,7,,
41,-55,0,346.412117,42,6,,
42,-58,4,2457.516909,52,9,,
43,-56,1,3381.27401,47,8,,
44,-55,0,356.555668,42,6,,
45,-54,0,233.303321,42,6,,
46,-53,1,3440.154336,48,8,,
47,-58,1,1051.296269,50,7,,
48,-51,3,8837.088473,62,12,,
49,-47,4,4958.733015,52,11,,
50,-53,2,6950.441268,60,10,,
51,-58,2,760.315017,51,8,,
52,-56,1,2807.429616,48,8,,
53,-55,0,809.891252,42,6,,
54,-57,1,586.174799,48,7,,
55,-52,2,1703.473793,48,9,,
56,-55,0,626.661426,43,6,,
57,-55,0,86.355081,42,6,,
58,-54,0,112.276958,42,6,,
59,-55,0,498.831926,43,6,,
60,-55,0,733.128519,42,6,,
61,-55,0,696.528223,42,6,,
62,-56,0,134.277593,47,7,,
63,-51,2,4424.225967,39,8,,
64,-55,0,366.337299,42,6,,
65,-55,0,83.564716,42,6,,
66,-55,1,1072.01932,44,7,,
67,-54,2,656.216306,52,8,,
68,-52,1,1294.618522,52,8,,
69,-58,1,2147.805445,53,8,,
70,-54,0,1016.322402,42,6,,
71,-55,0,221.839954,42,6,,
72,-51,2,1312.070057,47,8,,
73,-47,2,3322.14567,57,9,,
74,-55,1,885.048772,47,7,,
75,-48,1,1527.305907,45,7,,
76,-55,0,303.421071,43,6,,
77,-54,0,579.667014,42,6,,
78,-55,0,95.028922,46,7,,
79,-55,0,835.773552,42,6,,
80,-56,1,147.97813,47,7,,
81,-54,0,95.123203,41,6,,
82,-55,0,224.613849,42,6,,
83,-55,0,161.193639,42,6,,
84,-56,1,1522.5017,49,8,,
85,-45,2,5825.88041,56,10,,
86,-50,2,3106.204578,49,8,,
87,-57,2,2138.455465,52,9,,
88,-56,2,399.345009,49,8,,
89,-55,0,554.908061,42,6,,
