Iteration,Setpoint Average,Resources Harvested,Net Reward,Standard Deviation for Setpoints,Duration (seconds),,
1,0,0,0.0,0,0,,
2,-59,1,1250.216902,54,8,,
3,-50,3,9032.272876,44,11,,
4,-54,1,3446.737581,45,8,,
5,-47,2,2295.277473,51,8,,
6,-57,1,171.669268,48,7,,
7,-54,3,1362.954092,48,8,,
8,-52,1,1553.533351,52,8,,
9,-57,1,1511.271146,50,8,,
10,-54,0,917.217238,42,6,,
11,-56,2,488.502288,47,7,,
12,-49,5,5090.283271,46,11,,
13,-56,3,294.691598,53,8,,
14,-55,0,95.217484,42,6,,
15,-55,0,260.100247,42,6,,
16,-59,1,1324.365329,53,8,,
17,-56,2,162.097285,46,7,,
18,-47,3,6099.554765,57,11,,
19,-45,2,4283.373236,51,8,,
20,-55,0,239.528568,42,6,,
21,-58,1,367.837405,50,7,,
22,-54,0,241.644615,42,6,,
23,-52,1,1490.814134,41,7,,
24,-56,1,1628.688874,49,8,,
25,-47,3,7352.691833,44,10,,
26,-57,2,771.298967,51,8,,
27,-55,0,853.339364,42,6,,
28,-56,2,103.985607,47,7,,
29,-56,0,192.004429,43,6,,
30,-52,2,2331.038255,46,8,,
31,-50,1,2005.032596,50,8,,
32,-56,0,324.902336,44,6,,
33,-55,0,321.946358,42,6,,
34,-55,0,274.630179,42,6,,
35,-53,1,2261.886735,47,8,,
36,-51,1,1574.220767,44,7,,
37,-46,3,4666.752605,65,10,,
38,-55,0,1125.307507,42,6,,
39,-51,3,822.208998,44,8,,
40,-52,1,2396.427378,46,8,,
41,-55,0,905.307553,42,6,,
42,-53,1,2454.982352,44,8,,
43,-55,0,290.459574,42,6,,
44,-55,0,361.600459,42,6,,
45,-54,0,309.578781,42,6,,
46,-54,1,391.94054,41,6,,
47,-55,0,77.681236,42,6,,
48,-55,2,694.779363,44,7,,
49,-51,1,1292.665741,43,7,,
50,-50,1,1414.651186,47,7,,
51,-48,2,6016.48192,51,10,,
52,-56,1,364.662026,46,7,,
53,-55,0,961.169366,42,6,,
54,-56,0,74.711606,45,6,,
55,-53,3,3634.483581,47,9,,
56,-55,0,286.479433,42,6,,
57,-47,3,3922.770634,54,10,,
58,-54,0,314.516445,42,6,,
59,-55,0,103.702765,42,6,,
60,-58,1,2295.205219,51,7,,
61,-58,1,1678.046406,52,8,,
62,-57,1,562.467456,49,7,,
63,-54,0,499.610993,42,6,,
64,-56,0,268.446102,43,6,,
65,-53,1,1048.158339,41,7,,
66,-55,0,129.8026,42,6,,
67,-54,1,1246.417308,50,8,,
68,-57,1,3489.383348,51,8,,
69,-53,2,603.027895,46,7,,
70,-45,2,2120.050611,46,8,,
71,-55,0,614.933789,42,6,,
72,-52,1,619.160239,39,6,,
73,-55,0,354.434003,43,6,,
74,-55,1,764.178982,47,7,,
75,-55,0,406.989578,43,6,,
76,-50,2,4372.711553,49,9,,
77,-55,1,311.295252,42,6,,
78,-52,1,3565.759404,43,8,,
79,-55,0,528.964324,42,6,,
80,-54,0,479.5175,42,6,,
81,-55,0,1074.815766,43,6,,
82,-53,1,59.956428,40,6,,
83,-56,1,1321.500054,46,7,,
84,-55,0,187.596984,43,6,,
85,-56,1,1873.928343,51,7,,
86,-55,0,360.187517,43,6,,
87,-53,3,276.416341,42,7,,
88,-52,3,2652.150845,43,8,,
89,-55,0,159.87851,42,6,,
90,-55,2,6799.115727,50,10,,
91,-55,1,2653.926414,47,8,,
92,-55,0,196.173133,42,6,,
93,-53,0,86.260799,40,6,,
