Iteration,Setpoint Average,Resources Harvested,Net Reward,Standard Deviation for Setpoints,Duration (seconds),,
1,0,0,0.0,0,0,,
2,-59,1,826.716073,54,8,,
3,-50,3,1745.319698,44,11,,
4,-53,1,2470.951694,45,8,,
5,-47,2,1619.593838,51,8,,
6,-57,1,461.71442,47,7,,
7,-54,0,399.235916,41,6,,
8,-54,2,2435.440459,47,9,,
9,-58,1,1147.359554,52,8,,
10,-54,1,480.091413,40,6,,
11,-54,1,633.999446,41,6,,
12,-57,1,513.910271,51,8,,
13,-54,0,445.536587,42,6,,
14,-55,1,495.110411,45,7,,
15,-54,1,471.705835,42,6,,
16,-55,0,460.290767,43,6,,
17,-59,2,2206.894129,54,8,,
18,-55,0,471.121394,42,6,,
19,-44,4,6697.556005,59,11,,
20,-54,0,428.599641,42,6,,
21,-57,0,437.130132,49,7,,
22,-55,0,473.632227,42,6,,
23,-55,0,473.393007,42,6,,
24,-55,0,729.710225,42,6,,
25,-54,0,934.599868,42,6,,
26,-55,2,507.002443,46,8,,
27,-55,0,444.553876,42,6,,
28,-54,2,505.608205,45,8,,
29,-47,1,10132.784186,55,8,,
30,-51,2,4702.372299,48,9,,
31,-50,1,4599.828957,46,7,,
32,-59,1,1423.515014,54,8,,
33,-46,1,9329.032605,54,8,,
34,-53,1,563.658038,43,7,,
35,-59,3,6714.222292,59,10,,
36,-54,1,2043.878594,46,7,,
37,-55,0,435.219316,42,6,,
38,-55,0,447.264838,43,6,,
39,-54,1,454.698469,47,7,,
40,-55,0,426.793123,42,6,,
41,-49,1,3030.407491,55,8,,
42,-58,1,519.786486,49,7,,
43,-54,2,3019.166251,46,8,,
44,-52,1,708.557165,38,6,,
45,-53,1,2787.805475,41,7,,
46,-54,0,441.348835,42,6,,
47,-52,1,2229.616481,47,8,,
48,-48,1,4402.562635,55,8,,
49,-55,0,489.956183,43,6,,
50,-51,1,3198.759576,47,7,,
51,-50,3,6021.082106,50,10,,
52,-43,4,4877.309904,46,10,,
53,-55,0,913.522933,42,6,,
54,-55,0,464.308772,42,6,,
55,-42,3,15016.465655,67,11,,
56,-55,0,413.431704,42,6,,
57,-55,0,470.571839,42,6,,
58,-53,1,3516.210414,45,8,,
59,-55,0,459.514858,42,6,,
60,-56,1,520.943178,51,7,,
61,-56,1,1015.557421,47,7,,
62,-57,1,480.493649,48,7,,
63,-55,0,446.449704,42,6,,
64,-55,0,447.418234,42,6,,
65,-57,1,2435.162555,49,8,,
66,-55,1,470.732972,46,7,,
67,-55,0,476.297078,42,6,,
68,-55,0,460.813484,42,6,,
69,-56,1,496.335154,49,8,,
70,-51,1,1466.450095,45,8,,
71,-55,0,831.626658,42,6,,
72,-56,2,519.062191,49,7,,
73,-49,2,5915.030347,51,9,,
74,-54,2,5362.827559,46,9,,
75,-55,0,900.00154,42,6,,
76,-55,0,489.519588,43,6,,
77,-49,1,3869.896307,43,8,,
78,-55,0,467.841162,43,6,,
79,-56,1,474.079719,46,7,,
80,-55,0,709.220068,43,6,,
81,-56,1,787.754205,47,7,,
82,-55,0,432.347927,42,6,,
83,-54,1,1827.39033,53,8,,
84,-49,1,2056.106039,46,7,,
85,-53,1,480.152192,41,6,,
86,-55,0,475.429175,42,6,,
87,-55,0,438.104983,42,6,,
88,-56,1,478.009331,48,7,,
89,-55,0,459.686427,43,6,,
90,-54,3,3006.908887,56,10,,
91,-47,2,2566.917923,50,8,,
92,-57,0,773.598219,49,7,,
93,-52,2,5083.025833,46,10,,
94,-55,2,1026.275879,50,8,,
95,-49,2,1055.075201,39,8,,
96,-46,4,6368.04747,61,11,,
97,-48,1,4261.539001,47,8,,
98,-54,0,622.013855,42,6,,
99,-50,1,603.194147,43,7,,
100,-51,1,948.491758,42,7,,
101,-53,2,4294.296979,48,9,,
102,-43,3,10464.149096,60,11,,
103,-56,1,532.804874,50,7,,
104,-58,0,470.610308,51,7,,
105,-46,2,5602.259716,51,9,,
106,-54,2,1058.356781,46,8,,
107,-58,2,4763.699398,53,9,,
108,-55,3,4119.634952,54,9,,
109,-57,1,1083.360913,48,7,,
110,-55,0,453.1392,42,6,,
111,-54,0,451.632611,42,6,,
112,-52,1,453.020344,44,7,,
113,-55,0,499.43781,42,6,,
114,-55,0,440.453639,43,6,,
115,-54,0,659.771039,42,6,,
116,-55,1,629.429223,44,7,,
117,-51,2,3633.495127,46,9,,
118,-54,1,497.569406,47,7,,
119,-49,1,960.249803,46,7,,
120,-45,2,4276.802108,57,10,,
