Iteration,Setpoint Average,Resources Harvested,Net Reward,Standard Deviation for Setpoints,Duration (seconds),,
1,0,0,0.0,0,0,,
2,-55,1,2169.580756,47,9,,
3,-53,0,1615.070289,43,7,,
4,-49,1,2395.359597,50,9,,
5,-46,4,6255.724428,59,12,,
6,-54,0,85.396113,43,7,,
7,-56,0,1393.270661,52,8,,
8,-56,0,174.884146,52,8,,
9,-54,1,2421.98201,51,9,,
10,-55,1,6191.256721,51,10,,
11,-53,1,2015.709318,48,9,,
12,-55,1,3585.34107,44,7,,
13,-57,0,3029.706045,52,8,,
14,-57,0,191.109033,52,8,,
15,-54,1,4451.483045,47,10,,
16,-53,1,2738.775698,46,9,,
17,-55,1,703.794087,49,8,,
18,-46,2,5339.519703,60,10,,
19,-46,2,7512.107242,60,10,,
20,-54,0,196.210385,44,7,,
21,-54,1,1417.286285,47,9,,
22,-49,2,3186.531233,48,10,,
23,-51,1,3303.201621,52,10,,
24,-55,2,6689.937248,51,11,,
25,-49,1,3445.55698,44,9,,
26,-55,6,15620.246147,59,18,,
27,-53,0,902.264824,43,7,,
28,-54,0,274.17218,44,7,,
29,-53,0,1775.395475,43,7,,
30,-55,1,1334.04619,50,9,,
31,-53,0,347.789012,43,7,,
32,-56,2,245.488789,50,8,,
33,-57,1,5806.371606,53,10,,
34,-57,2,4225.377852,55,11,,
35,-49,6,12189.983879,53,17,,
36,-54,0,288.895382,43,7,,
37,-57,1,1642.061576,54,9,,
38,-53,1,1026.505183,45,8,,
39,-53,0,684.402472,43,7,,
40,-54,0,428.068518,43,7,,
41,-50,2,3762.149268,53,12,,
42,-54,0,1338.757876,45,7,,
43,-53,4,9021.875741,63,14,,
44,-53,0,698.446065,43,7,,
45,-55,1,813.514947,49,8,,
46,-44,2,1871.462095,57,10,,
47,-56,1,1156.26587,50,8,,
48,-57,1,895.807696,52,8,,
49,-57,1,2970.77909,54,9,,
50,-56,1,1314.500049,50,8,,
51,-49,1,5515.45675,50,10,,
52,-53,1,2722.788045,47,9,,
53,-56,1,55.526141,50,8,,
54,-53,3,5664.464711,51,13,,
55,-51,5,7350.156837,64,16,,
56,-55,1,1366.55701,48,8,,
57,-54,0,523.75294,44,7,,
58,-52,2,1744.853879,55,10,,
59,-51,3,4607.776971,53,11,,
60,-52,1,1713.633326,44,8,,
61,-54,0,1566.842437,43,7,,
62,-55,3,7075.167032,54,12,,
63,-54,1,1123.308244,46,8,,
64,-53,0,483.154401,43,7,,
65,-50,5,11147.79213,58,14,,
66,-50,5,17184.552625,57,18,,
67,-57,1,2969.312228,54,10,,
68,-54,0,2122.309055,44,7,,
69,-56,1,3275.344456,51,9,,
70,-52,2,3628.35129,46,10,,
71,-55,1,1645.390316,50,9,,
72,-53,2,1190.889347,47,8,,
73,-56,0,356.405308,52,8,,
74,-55,3,2194.841705,51,10,,
75,-54,1,2169.457047,49,9,,
76,-52,1,1720.852092,53,9,,
77,-51,2,2514.557888,49,11,,
78,-55,1,3259.067091,49,9,,
79,-57,0,649.280758,52,8,,
80,-57,0,334.038235,56,10,,
81,-53,0,961.910923,43,7,,
82,-53,0,1964.502505,43,7,,
83,-53,0,1266.538543,43,7,,
84,-53,0,1010.411447,43,7,,
85,-50,2,4191.753618,56,10,,
86,-56,3,6039.757715,54,11,,
87,-54,0,1489.482108,44,7,,
88,-54,2,3525.360455,50,10,,
89,-46,3,5748.933192,58,11,,
90,-54,1,1574.075961,47,8,,
91,-54,0,390.005741,44,7,,
92,-54,0,1670.556631,44,7,,
93,-54,0,748.92392,44,7,,
94,-54,1,1912.802388,52,9,,
95,-49,2,2199.695416,53,10,,
96,-54,0,514.773056,44,7,,
97,-54,0,781.945723,44,7,,
98,-54,0,615.561272,44,7,,
99,-52,1,1175.492335,47,8,,
100,-53,1,5107.801922,47,10,,
101,-56,1,3092.533795,52,10,,
102,-53,0,3000.980275,43,7,,
103,-53,0,2308.602831,43,7,,
104,-56,1,4459.396895,52,10,,
105,-49,2,7767.53751,57,12,,
106,-53,2,2656.004759,46,9,,
107,-57,1,791.691694,53,9,,
108,-42,3,8194.159783,62,13,,
109,-50,2,5665.952977,47,10,,
110,-57,0,1270.122321,52,8,,
111,-55,1,1741.730184,49,8,,
112,-54,0,668.535908,44,7,,
113,-56,1,876.183195,50,8,,
114,-55,3,5358.690093,58,13,,
115,-53,1,911.631858,53,9,,
116,-56,0,478.767436,52,8,,
117,-45,2,5766.780013,63,11,,
118,-47,3,5345.960447,59,13,,
119,-54,0,359.745882,44,7,,
120,-53,1,1024.942571,46,8,,
121,-56,5,6952.311936,55,14,,
122,-55,1,1582.064791,50,8,,
123,-53,2,1416.939003,45,8,,
124,-57,0,1013.064281,52,8,,
125,-51,2,2968.222941,54,11,,
126,-54,3,11257.239863,52,13,,
127,-55,0,42.846229,45,7,,
128,-54,1,2252.722172,47,9,,
129,-55,3,931.548899,50,9,,
130,-53,0,377.383148,43,7,,
131,-56,1,409.265996,49,8,,
132,-48,2,3342.633292,50,10,,
133,-46,2,5101.344511,54,10,,
134,-57,1,1301.487476,52,9,,
135,-46,2,3914.313746,59,11,,
136,-47,3,6555.415605,49,11,,
137,-53,2,9609.250754,53,12,,
138,-51,4,12210.949802,71,15,,
139,-54,0,1801.680502,44,7,,
140,-51,2,2411.164791,45,8,,
141,-55,0,577.140634,45,7,,
142,-54,0,1052.338188,44,7,,
143,-58,4,2979.31833,57,10,,
144,-47,2,4299.699536,51,10,,
145,-53,3,6470.242047,47,10,,
146,-53,0,1124.421241,44,7,,
147,-58,1,1749.2327,56,9,,
148,-54,0,487.618383,43,7,,
149,-53,0,535.37266,43,7,,
150,-54,0,939.928274,45,7,,
151,-57,0,1357.911361,52,8,,
152,-57,0,60.289787,52,8,,
153,-57,1,611.40499,53,9,,
154,-55,2,8030.460461,51,11,,
