Iteration,Setpoint Average,Resources Harvested,Net Reward,Standard Deviation for Setpoints,Duration (seconds),,
1,0,0,0.0,0,0,,
2,-59,1,2953.634441,54,8,,
3,-50,3,11026.640652,44,11,,
4,-54,1,4789.748182,45,8,,
5,-47,2,3828.355318,51,8,,
6,-57,1,1516.676758,48,7,,
7,-54,3,3418.529205,48,8,,
8,-52,1,2828.090355,52,8,,
9,-57,1,3037.052833,50,8,,
10,-54,0,2224.195854,42,6,,
11,-56,2,2016.583738,47,7,,
12,-49,5,6792.885873,46,11,,
13,-56,3,2039.589545,53,8,,
14,-55,0,1173.209503,42,6,,
15,-55,0,1366.413168,42,6,,
16,-59,1,2853.972845,53,8,,
17,-56,2,1592.140443,46,7,,
18,-47,3,8185.474307,57,11,,
19,-45,2,5589.973983,51,8,,
20,-55,0,1286.769821,42,6,,
21,-58,1,1984.365617,50,7,,
22,-54,0,1175.835152,42,6,,
23,-52,1,2942.954566,41,7,,
24,-51,3,7532.005963,50,11,,
25,-55,0,2149.58146,42,6,,
26,-50,1,2984.670863,42,7,,
27,-54,1,1701.433741,41,6,,
28,-56,2,2736.448397,48,7,,
29,-55,0,1941.326901,42,6,,
30,-54,0,1537.38155,41,6,,
31,-54,0,2112.046973,42,6,,
32,-56,1,1440.701735,51,7,,
33,-55,1,4506.439104,45,8,,
34,-55,0,2693.945148,42,6,,
35,-51,2,3805.942043,57,8,,
36,-55,0,1836.554842,43,6,,
37,-55,0,2057.195187,42,6,,
38,-55,0,1186.350754,42,6,,
39,-55,0,876.354968,42,6,,
40,-51,5,5965.883796,62,10,,
41,-54,0,1326.278576,41,6,,
42,-56,0,1662.279567,43,6,,
43,-45,1,4760.216927,53,8,,
44,-54,3,10736.847045,49,10,,
45,-57,2,2042.855368,51,7,,
46,-56,0,2379.894212,43,6,,
47,-54,0,2099.537639,42,6,,
48,-55,1,2256.694997,44,7,,
49,-53,1,2132.973673,42,7,,
50,-55,0,1830.986005,42,6,,
51,-56,4,5544.378142,50,9,,
52,-52,1,2316.11429,44,7,,
53,-48,2,5785.241029,54,8,,
54,-54,1,1303.74365,41,6,,
55,-56,3,1798.059166,48,8,,
56,-55,0,1735.272308,43,6,,
57,-55,0,988.310261,42,6,,
58,-48,2,4449.347846,49,9,,
59,-52,1,6481.008436,47,8,,
60,-55,0,1214.594325,42,6,,
61,-55,1,2205.179232,44,7,,
62,-47,1,2514.64175,52,8,,
63,-55,0,1969.536234,43,6,,
64,-55,0,1374.578186,42,6,,
65,-54,0,3325.990557,42,6,,
66,-54,0,1316.137274,42,6,,
67,-54,0,1669.851783,42,6,,
68,-55,2,2825.871912,48,8,,
69,-55,0,1113.20396,42,6,,
70,-55,0,1767.618134,42,6,,
71,-51,1,1516.173763,43,7,,
72,-55,0,2133.318579,42,6,,
73,-54,1,3403.917669,46,8,,
74,-55,0,1689.877331,42,6,,
75,-55,0,1769.095099,43,6,,
76,-55,0,2131.445237,42,6,,
77,-55,0,1236.852141,42,6,,
78,-55,0,1633.727238,42,6,,
79,-50,1,4993.708339,43,8,,
80,-56,0,1753.06493,44,6,,
81,-55,0,3453.731262,42,6,,
82,-54,2,3601.939527,46,8,,
83,-54,1,1483.695459,42,6,,
84,-50,3,2588.26766,40,7,,
85,-51,1,5099.407582,51,8,,
86,-44,3,6436.027919,63,11,,
87,-57,1,2606.292033,49,7,,
88,-44,3,13452.762043,64,10,,
89,-54,0,2674.543356,41,6,,
90,-55,0,1572.577141,42,6,,
91,-55,0,1813.826684,42,6,,
92,-55,0,2617.155868,42,6,,
93,-56,0,1508.130506,48,7,,
94,-54,0,2189.967221,42,6,,
95,-54,0,2411.893028,48,7,,
96,-55,0,1674.037895,42,6,,
97,-55,0,1238.590509,42,6,,
98,-55,0,1349.574408,42,6,,
99,-54,0,1319.672282,42,6,,
100,-51,1,1919.606949,43,7,,
101,-58,2,3228.903488,51,8,,
102,-55,0,2384.257482,42,6,,
103,-49,1,5957.823748,55,8,,
104,-55,1,1991.22138,50,7,,
105,-55,0,2221.413784,43,6,,
106,-55,1,5833.983425,46,8,,
107,-54,1,1583.042351,55,8,,
108,-54,0,1959.308344,42,6,,
109,-58,3,4063.945308,53,9,,
110,-48,1,3697.029159,45,7,,
111,-58,2,4034.434096,56,9,,
112,-57,1,1945.874204,48,7,,
113,-54,0,1548.648954,42,6,,
114,-57,1,2981.305779,50,8,,
115,-54,0,1814.914902,42,6,,
116,-55,0,1430.198287,42,6,,
117,-55,0,1652.115033,42,6,,
118,-55,0,1217.561255,42,6,,
119,-50,1,2696.437482,46,7,,
120,-47,1,4729.634201,54,8,,
121,-55,0,1221.781179,43,6,,
122,-55,0,1742.727755,42,6,,
123,-55,0,1324.456365,42,6,,
124,-57,1,2708.095719,48,7,,
125,-54,0,1489.940542,42,6,,
126,-52,2,4228.32499,42,8,,
127,-55,0,1425.100497,43,6,,
128,-54,0,2146.295202,42,6,,
129,-54,1,2849.360306,42,7,,
130,-55,0,2111.958205,43,6,,
131,-55,0,1409.80681,43,6,,
132,-54,1,5080.52192,45,8,,
133,-56,1,1392.855462,50,7,,
134,-53,1,2085.14635,39,6,,
135,-49,1,6706.727522,55,8,,
136,-54,1,1945.602318,41,6,,
137,-56,0,2580.464546,44,6,,
138,-54,2,5571.258767,65,9,,
139,-50,2,9051.859711,47,9,,
140,-55,0,2386.014825,42,6,,
141,-50,1,3686.503466,50,8,,
142,-55,0,1654.131911,42,6,,
143,-54,0,1271.354344,41,6,,
144,-55,0,2127.024586,43,6,,
145,-54,2,4583.422522,54,9,,
146,-54,0,1924.226393,42,6,,
147,-55,0,1393.184318,42,6,,
148,-50,1,2895.692251,49,8,,
149,-55,1,1472.591258,43,6,,
150,-52,2,2396.37651,48,7,,
151,-55,0,1252.288033,43,6,,
152,-56,1,2550.073889,48,7,,
153,-55,0,1365.035539,42,6,,
154,-55,1,2261.29607,45,7,,
155,-53,2,2497.690993,44,7,,
156,-53,1,2233.584531,41,6,,
157,-58,1,1728.050528,50,7,,
158,-55,0,2500.694912,42,6,,
159,-55,0,1983.600862,42,6,,
160,-57,1,4535.233005,51,8,,
161,-55,0,2933.922191,43,6,,
162,-56,1,1682.044894,47,7,,
163,-45,1,4491.330872,52,8,,
164,-55,0,1195.120531,42,6,,
165,-55,0,935.641218,43,6,,
166,-56,0,1575.468998,44,6,,
167,-55,0,2402.860885,42,6,,
168,-54,0,1996.056908,42,6,,
169,-55,0,1501.00682,42,6,,
170,-55,1,2603.526431,44,7,,
171,-54,0,1721.6658,42,6,,
172,-55,0,1482.936301,42,6,,
173,-51,1,3846.111133,51,8,,
174,-56,0,1758.066209,44,6,,
175,-47,2,5576.370856,53,8,,
176,-55,0,1231.589338,42,6,,
177,-55,0,2133.450457,42,6,,
178,-55,0,1425.806774,42,6,,
179,-56,0,1286.908802,47,7,,
180,-55,0,2429.919583,42,6,,
181,-46,2,5108.018642,55,9,,
182,-54,1,1501.153017,47,7,,
183,-51,1,3580.185429,50,8,,
184,-50,1,2389.128568,41,7,,
185,-54,1,1875.062499,44,7,,
186,-55,0,1624.305581,42,6,,
187,-55,0,2083.45578,42,6,,
188,-50,0,115.176764,65,18,,
189,-55,0,2048.152104,43,6,,
190,-55,0,1801.447162,43,6,,
