Iteration,Setpoint Average,Resources Harvested,Net Reward,Standard Deviation for Setpoints,Duration (seconds),,
1,0,0,0.0,0,0,,
2,-59,1,826.71607,54,8,,
3,-50,3,1745.319698,44,11,,
4,-53,1,2470.951694,45,8,,
5,-47,2,1619.593837,51,8,,
6,-57,1,461.71442,47,7,,
7,-54,0,399.235916,41,6,,
8,-54,2,2435.440437,47,9,,
9,-58,1,1147.359554,52,8,,
10,-54,1,480.091413,40,6,,
11,-54,1,633.999446,41,6,,
12,-57,1,513.910271,51,8,,
13,-54,0,445.536587,42,6,,
14,-55,1,495.110408,45,7,,
15,-54,1,471.705835,42,6,,
16,-55,0,460.290767,43,6,,
17,-59,2,2206.894129,54,8,,
18,-55,0,471.121394,42,6,,
19,-44,4,6697.556005,59,11,,
20,-54,0,428.599641,42,6,,
21,-57,0,437.130132,49,7,,
22,-55,0,473.632227,42,6,,
23,-55,0,473.393007,42,6,,
24,-55,0,729.710225,42,6,,
25,-54,0,934.599868,42,6,,
26,-55,1,480.966879,46,7,,
27,-55,0,444.400591,42,6,,
28,-58,1,511.280504,50,7,,
29,-53,2,467.491373,46,7,,
30,-51,1,2913.201083,44,8,,
31,-53,2,3369.867728,56,10,,
32,-55,0,2000.784515,42,6,,
33,-55,0,465.245913,43,6,,
34,-55,0,685.625628,42,6,,
35,-57,1,1709.993867,49,7,,
36,-55,2,444.978091,47,7,,
37,-55,0,440.026055,42,6,,
38,-52,1,576.725125,44,7,,
39,-55,1,2776.999621,45,8,,
40,-54,0,466.793825,42,6,,
41,-51,1,528.972925,43,7,,
42,-52,1,564.318319,44,7,,
43,-55,0,784.211057,42,6,,
44,-57,1,656.573669,48,7,,
45,-57,2,453.141451,50,7,,
46,-52,2,1741.650938,42,8,,
47,-54,0,452.241659,42,6,,
48,-50,1,2957.917224,44,8,,
49,-50,2,1610.551462,56,8,,
50,-54,0,403.764098,41,6,,
51,-55,0,428.770017,42,6,,
52,-58,1,1404.241199,51,8,,
53,-55,0,899.982004,42,6,,
54,-55,1,438.327873,42,6,,
55,-56,1,587.397891,48,8,,
56,-56,3,2274.054446,58,10,,
57,-55,0,448.889814,42,6,,
58,-54,1,908.604815,41,6,,
59,-55,0,438.949583,42,6,,
60,-56,2,494.661824,49,7,,
61,-55,0,464.029992,43,6,,
62,-58,0,460.606754,50,7,,
63,-55,0,471.156453,43,6,,
64,-54,0,461.834522,42,6,,
65,-48,5,9768.7417,45,12,,
66,-55,0,671.147617,42,6,,
