Iteration,Setpoint Average,Resources Harvested,Net Reward,Standard Deviation for Setpoints,Duration (seconds),,
1,0,0,0.0,0,0,,
2,-55,1,153.012362,0,9,,
3,-53,0,21.3,0,7,,
4,-49,1,66.507129,0,9,,
5,-46,4,317.004343,0,12,,
6,-54,0,16.7,0,7,,
7,-56,0,24.7,0,8,,
8,-56,0,13.5,0,8,,
9,-54,1,108.553832,0,9,,
10,-55,1,125.72211,0,10,,
11,-53,1,134.309927,0,9,,
12,-55,1,72.8,0,7,,
13,-57,0,62.0,0,8,,
14,-57,0,18.5,0,8,,
15,-54,1,121.437502,0,10,,
16,-53,1,120.214259,0,9,,
17,-55,1,67.751294,0,8,,
18,-46,2,164.06023,0,10,,
19,-46,2,170.134459,0,10,,
20,-54,0,20.4,0,7,,
21,-54,1,78.085731,0,9,,
22,-51,3,327.781492,0,12,,
23,-54,0,34.7,0,7,,
24,-45,2,138.61945,0,10,,
25,-54,0,16.3,0,7,,
26,-54,1,72.923821,0,9,,
27,-54,1,91.836246,0,8,,
28,-57,0,19.5,0,8,,
29,-52,1,71.780847,0,8,,
30,-46,2,253.47542,0,11,,
31,-51,1,29.099785,0,9,,
32,-54,0,6.6,0,7,,
33,-59,5,341.911505,0,16,,
34,-46,3,249.243987,0,12,,
35,-54,0,1.1,0,7,,
36,-53,1,36.06322,0,8,,
37,-58,1,186.263693,0,10,,
38,-50,1,192.000901,0,10,,
39,-57,1,86.662704,0,9,,
40,-55,2,107.271888,0,9,,
41,-49,2,244.876497,0,11,,
42,-56,1,144.181089,0,9,,
43,-52,1,77.673925,0,8,,
44,-53,2,186.937097,0,10,,
45,-50,1,148.414401,0,10,,
46,-53,0,20.4,0,7,,
47,-54,0,48.9,0,7,,
48,-57,1,82.325351,0,8,,
49,-47,2,283.736387,0,12,,
50,-53,0,20.1,0,7,,
51,-53,0,21.9,0,7,,
52,-57,0,7.6,0,8,,
53,-55,2,87.910817,0,8,,
54,-53,0,-1.1,0,7,,
55,-40,5,477.52315,0,15,,
56,-53,2,163.35548,0,10,,
57,-55,2,287.035865,0,11,,
58,-55,1,57.409551,0,9,,
59,-53,0,2.4,0,7,,
60,-54,0,26.9,0,7,,
61,-56,1,174.354561,0,10,,
62,-54,0,-7.8,0,10,,
63,-54,0,18.7,0,7,,
64,-55,1,155.625451,0,10,,
65,-54,1,90.328126,0,10,,
66,-56,0,8.7,0,8,,
67,-54,0,32.4,0,7,,
68,-53,0,39.0,0,7,,
69,-58,2,171.916427,0,10,,
70,-53,1,84.917852,0,8,,
71,-53,0,7.8,0,7,,
72,-56,1,35.100201,0,8,,
73,-56,0,12.9,0,8,,
74,-56,1,50.975925,0,8,,
75,-54,0,7.2,0,7,,
76,-53,0,22.3,0,7,,
77,-52,2,161.358112,0,10,,
78,-53,0,44.0,0,7,,
79,-55,1,94.77112,0,9,,
