Iteration,Setpoint Average,Resources Harvested,Net Reward,Standard Deviation for Setpoints,Duration (seconds),,
1,0,0,0.0,0,0,,
2,-59,1,6593.92087,54,8,,
3,-50,3,25794.263559,44,11,,
4,-54,1,6057.132703,45,8,,
5,-47,2,9040.247978,51,8,,
6,-57,1,5898.767164,48,7,,
7,-54,3,7402.835328,48,8,,
8,-52,1,6624.005072,52,8,,
9,-57,1,7204.023343,50,8,,
10,-54,0,10118.964456,42,6,,
11,-56,2,5654.516194,47,7,,
12,-49,5,9194.031542,46,11,,
13,-56,3,6699.603968,53,8,,
14,-55,0,5776.764215,42,6,,
15,-55,0,6063.156127,42,6,,
16,-59,1,7187.828716,53,8,,
17,-56,2,5947.962346,46,7,,
18,-47,3,11103.674783,57,11,,
19,-45,2,8825.790231,51,8,,
20,-55,0,6285.260033,42,6,,
21,-58,1,6134.317253,50,7,,
22,-54,0,5320.707809,42,6,,
23,-52,1,6352.070982,41,7,,
24,-55,2,6549.565656,51,9,,
25,-54,0,6930.797859,42,6,,
26,-57,2,7023.328868,51,8,,
27,-55,0,5365.688126,42,6,,
28,-57,1,5919.415073,48,7,,
29,-55,1,6196.181306,44,7,,
30,-58,1,7081.634169,53,8,,
31,-54,0,5109.284143,40,6,,
32,-55,0,5604.265552,43,6,,
33,-54,0,10540.718607,42,6,,
34,-54,2,6262.16971,46,8,,
35,-54,0,5855.692626,41,6,,
36,-55,0,5865.719045,42,6,,
37,-53,2,6108.379578,45,7,,
38,-55,0,5155.084579,42,6,,
39,-55,0,6195.842964,43,6,,
40,-54,0,5689.012277,41,6,,
41,-54,1,7264.075549,45,8,,
42,-55,0,5691.998996,42,6,,
43,-55,0,6015.86776,42,6,,
44,-55,0,5723.080908,42,6,,
45,-55,0,6274.09441,42,6,,
46,-55,0,6136.381718,42,6,,
47,-57,1,6947.307792,49,7,,
48,-53,1,6709.752629,45,7,,
49,-56,1,6814.628599,48,7,,
50,-55,1,6115.82151,43,6,,
51,-55,0,5914.13498,43,6,,
52,-56,1,6489.305804,46,7,,
53,-57,2,12050.764354,49,8,,
54,-49,1,6487.237919,49,8,,
55,-55,0,6250.345961,42,6,,
56,-51,2,8560.501527,46,10,,
57,-55,0,5234.573365,42,6,,
58,-55,0,5928.829938,43,6,,
59,-51,2,9131.613188,50,8,,
60,-55,0,5709.896964,43,6,,
61,-53,1,5987.292537,43,7,,
62,-56,0,4961.375972,47,7,,
63,-54,0,6290.753252,42,6,,
64,-55,0,5777.73445,42,6,,
65,-55,0,5323.450198,42,6,,
66,-55,0,5152.068869,42,6,,
67,-55,1,7022.359767,47,8,,
68,-55,0,5848.056944,42,6,,
69,-55,0,5740.208334,42,6,,
70,-55,1,6732.974056,50,7,,
71,-51,2,9174.578787,52,9,,
72,-57,3,7444.569175,52,8,,
73,-57,2,5972.632614,48,7,,
74,-55,0,6121.522157,42,6,,
75,-55,0,6267.146145,42,6,,
76,-48,2,8745.892218,44,8,,
77,-55,2,9077.075653,47,9,,
78,-56,0,4238.025612,47,7,,
79,-55,1,6676.064986,44,7,,
80,-57,1,4940.366083,51,8,,
81,-53,1,6498.738607,41,7,,
82,-58,1,7427.701712,51,8,,
83,-56,1,7419.689842,48,8,,
84,-56,0,5993.044623,43,6,,
85,-55,3,7290.695573,50,7,,
86,-50,3,12514.138873,52,10,,
87,-55,0,6202.337876,42,6,,
88,-55,0,4243.44875,42,6,,
89,-54,0,5574.81037,42,6,,
90,-55,0,6274.961642,42,6,,
91,-55,0,7852.549072,42,6,,
92,-53,0,7318.783304,39,6,,
93,-54,1,6633.495365,41,6,,
94,-54,1,7050.927264,46,8,,
95,-54,0,7561.872738,42,6,,
96,-55,0,6069.137239,43,6,,
97,-53,2,7736.38163,42,8,,
98,-51,1,6851.894123,45,8,,
99,-54,0,9143.454326,41,6,,
100,-57,3,7402.156695,52,9,,
101,-52,2,7994.2743,40,8,,
102,-55,1,5480.645084,44,7,,
103,-49,2,14924.214782,51,9,,
104,-56,1,6398.315531,48,7,,
105,-54,1,5723.948004,42,6,,
106,-56,0,6347.204462,44,6,,
107,-53,2,5475.336125,50,8,,
108,-58,3,12986.735295,55,11,,
109,-52,1,14103.33415,46,8,,
110,-53,1,7795.032882,48,8,,
111,-55,0,5544.0606,42,6,,
112,-61,2,7521.733865,59,9,,
113,-52,2,6179.334837,40,8,,
114,-55,0,10483.889709,42,6,,
115,-48,1,7619.702703,47,8,,
116,-54,0,5529.108085,42,6,,
117,-57,2,6279.643728,50,8,,
118,-54,1,5772.193202,43,7,,
119,-55,0,9828.362677,43,6,,
120,-44,4,11329.336092,57,11,,
121,-58,1,6305.689556,51,7,,
122,-55,2,6550.704982,49,8,,
123,-55,0,5723.551031,43,6,,
124,-49,4,11180.08244,60,10,,
125,-52,1,5823.73549,44,7,,
126,-57,2,7881.783069,50,8,,
127,-55,1,6521.98058,45,8,,
128,-55,0,6464.135592,43,6,,
129,-56,2,18256.61132,53,10,,
130,-56,2,8645.433119,51,10,,
131,-55,0,5815.036641,42,6,,
132,-51,2,7462.897737,52,8,,
133,-54,0,5613.118207,42,6,,
134,-55,0,6230.34943,43,6,,
135,-45,2,14193.027654,54,9,,
136,-54,0,4530.970356,40,6,,
137,-55,0,5935.662767,42,6,,
138,-54,0,6320.395281,42,6,,
139,-54,0,6055.501839,42,6,,
140,-52,1,5756.453609,42,7,,
141,-55,0,5469.316835,42,6,,
142,-55,0,4699.829191,43,6,,
143,-55,0,4840.756562,42,6,,
144,-50,2,8081.784257,47,9,,
145,-55,0,6425.387682,42,6,,
146,-56,1,5782.01809,46,7,,
147,-54,0,4799.535412,41,6,,
148,-58,1,5322.119492,51,7,,
149,-54,0,5410.391125,42,6,,
150,-56,2,6466.26146,46,7,,
151,-47,3,15387.169946,49,11,,
152,-54,0,4085.389636,40,6,,
153,-49,1,7976.446389,55,8,,
154,-53,2,6319.915248,46,7,,
155,-55,2,8168.750496,56,9,,
156,-55,0,5687.292393,43,6,,
157,-55,2,6582.161205,46,8,,
158,-55,0,6209.121818,43,6,,
159,-45,3,9440.898027,54,9,,
160,-55,0,5550.80122,42,6,,
161,-53,2,6340.295719,41,7,,
162,-55,0,6270.850084,42,6,,
163,-53,1,6560.874416,49,7,,
164,-52,1,8140.762606,39,6,,
165,-55,0,5092.967129,42,6,,
166,-57,0,4780.209521,48,7,,
167,-54,0,6308.466848,42,6,,
168,-51,1,6609.907076,44,7,,
169,-54,0,5916.931581,42,6,,
170,-59,2,12054.030834,55,10,,
171,-55,0,7377.498783,42,6,,
172,-56,2,5729.697007,47,7,,
173,-52,1,6239.54113,42,7,,
174,-54,0,5670.304767,41,6,,
175,-55,0,11337.968843,42,6,,
176,-52,2,11862.626246,60,10,,
177,-55,0,6060.879115,42,6,,
178,-55,0,6327.839235,42,6,,
179,-54,0,7971.775161,40,6,,
180,-55,0,5550.376684,42,6,,
181,-56,2,5231.408738,50,7,,
182,-54,0,5545.686679,42,6,,
183,-55,0,5539.782383,42,6,,
184,-55,1,6337.954752,46,7,,
185,-49,1,10823.25255,48,8,,
186,-55,0,12275.398012,42,6,,
187,-55,0,10813.565727,42,6,,
188,-50,0,2870.0,65,18,,
189,-55,0,13104.29805,43,6,,
190,-51,3,6470.540989,45,9,,
191,-50,1,6112.339654,42,7,,
192,-55,0,5743.392141,43,6,,
