Iteration,Setpoint Average,Resources Harvested,Net Reward,Standard Deviation for Setpoints,Duration (seconds),,
1,0,0,0.0,0,0,,
2,-55,1,19027.71073,47,9,,
3,-53,0,14246.505831,43,7,,
4,-49,1,16253.87547,50,9,,
5,-46,4,29582.154052,59,12,,
6,-54,0,9810.067154,43,7,,
7,-56,0,15497.576621,52,8,,
8,-56,0,9022.486901,52,8,,
9,-54,1,17083.231042,51,9,,
10,-55,1,27305.415158,51,10,,
11,-53,1,15586.765265,48,9,,
12,-55,1,23539.610637,44,7,,
13,-57,0,20823.296848,52,8,,
14,-57,0,12177.218121,52,8,,
15,-54,1,20066.977889,47,10,,
16,-53,1,19979.373534,46,9,,
17,-55,1,14837.683035,49,8,,
18,-46,2,26429.349539,60,10,,
19,-46,2,26446.870693,60,10,,
20,-54,0,10429.456231,44,7,,
21,-54,1,14510.752952,47,9,,
22,-54,1,13042.065043,50,8,,
23,-57,0,17570.462852,52,8,,
24,-52,1,22162.349448,46,9,,
25,-54,0,14356.637073,43,7,,
26,-53,1,16330.04392,46,8,,
27,-48,5,21293.842579,59,13,,
28,-54,1,17520.425189,49,9,,
29,-53,0,13251.015751,43,7,,
30,-50,1,13228.5817,55,9,,
31,-50,1,17567.499098,56,10,,
32,-53,1,19766.968064,50,10,,
33,-55,1,17573.097148,49,9,,
34,-56,1,16752.452432,51,8,,
35,-54,0,15743.403105,43,7,,
36,-56,2,21626.54123,54,11,,
37,-53,1,14768.854101,45,8,,
38,-54,0,12217.971047,44,7,,
39,-54,0,10884.703684,44,7,,
40,-53,0,9503.845164,44,7,,
41,-53,0,13313.225136,43,7,,
42,-55,1,18660.971124,49,9,,
43,-53,2,18154.721873,49,9,,
44,-53,0,12848.136925,43,7,,
45,-54,0,11661.876916,44,7,,
46,-54,0,13504.041479,44,7,,
47,-53,1,19745.596944,53,9,,
48,-53,0,12732.234921,43,7,,
49,-55,2,14513.425555,49,8,,
50,-44,2,20375.294978,64,11,,
51,-50,1,20997.475505,58,10,,
52,-53,0,10854.710092,43,7,,
53,-49,2,18789.613498,53,9,,
54,-56,1,14802.422435,51,9,,
55,-53,0,12006.176967,43,7,,
56,-53,0,11547.719578,43,7,,
57,-53,1,12882.860447,47,8,,
58,-47,2,21556.706442,56,11,,
59,-53,0,16440.938089,43,7,,
60,-53,2,14867.880619,53,9,,
61,-49,4,38177.17494,55,14,,
62,-53,0,10560.863349,43,7,,
63,-49,2,20388.827294,58,11,,
64,-50,1,17083.295843,43,9,,
65,-57,0,14784.809195,52,8,,
66,-48,2,23703.596807,59,12,,
67,-51,2,21350.685934,48,11,,
68,-57,1,24297.372341,54,9,,
69,-52,2,21709.710072,54,10,,
70,-54,2,20871.720954,50,11,,
71,-54,1,16056.010199,50,9,,
72,-49,6,53353.153372,65,19,,
73,-54,0,14087.282077,44,7,,
74,-45,3,37667.961039,66,14,,
75,-48,1,19063.575774,48,9,,
76,-54,0,13034.907697,44,7,,
77,-54,0,16908.312715,43,7,,
78,-55,1,12635.121145,52,10,,
79,-54,0,15503.789714,44,7,,
80,-56,3,15788.14459,56,12,,
81,-53,0,12585.438107,43,7,,
82,-53,0,13348.981468,43,7,,
83,-58,1,15199.15867,56,9,,
84,-55,1,21930.639473,51,9,,
85,-53,0,9305.464169,43,7,,
86,-53,0,15384.381564,43,7,,
87,-54,2,16371.282924,49,9,,
88,-51,1,17551.794629,52,10,,
89,-53,0,12224.630346,43,7,,
90,-52,2,20141.633637,61,11,,
91,-49,2,28895.349678,44,11,,
92,-56,1,20195.993717,50,9,,
93,-53,1,17834.384004,51,9,,
94,-47,3,31207.797204,71,14,,
95,-57,1,20842.538926,54,10,,
96,-54,2,28025.674019,62,12,,
97,-57,1,19729.049646,56,10,,
98,-53,0,13739.932615,43,7,,
99,-56,1,18724.333279,51,8,,
100,-53,0,17477.128006,43,7,,
101,-56,0,13533.07011,45,7,,
102,-53,1,18651.587459,45,8,,
103,-47,3,31409.330088,58,13,,
104,-53,0,13747.154912,43,7,,
105,-56,3,17480.985015,51,9,,
106,-46,3,25430.178823,49,11,,
107,-51,1,15294.934654,48,8,,
108,-49,1,23285.967079,57,10,,
109,-56,1,14506.696778,51,8,,
110,-56,2,25178.997465,55,11,,
111,-57,0,13657.490954,52,8,,
112,-54,2,19652.933551,50,11,,
113,-53,0,16365.815148,43,7,,
114,-50,2,24377.929391,56,11,,
115,-49,2,25367.458225,56,11,,
116,-55,1,17100.875292,49,9,,
117,-53,0,15433.435893,43,7,,
118,-55,2,23503.252805,51,9,,
119,-54,1,19762.514385,50,8,,
120,-51,2,23274.223545,64,11,,
121,-56,0,16042.924819,51,8,,
122,-51,2,30561.574554,46,10,,
123,-54,0,12358.074201,45,7,,
124,-53,0,14030.823577,43,7,,
125,-54,0,15685.605355,44,7,,
126,-55,2,21945.81504,54,10,,
127,-47,1,20853.274103,48,9,,
128,-51,2,23647.219648,47,11,,
129,-53,0,11982.499323,43,7,,
130,-55,1,23439.635023,52,10,,
131,-48,1,21274.302538,56,10,,
132,-54,0,16355.576746,44,7,,
133,-57,0,12488.956803,52,8,,
134,-54,0,14471.194492,44,7,,
135,-48,1,19363.795205,61,10,,
136,-57,0,19413.706169,52,8,,
137,-53,0,10863.824191,42,7,,
138,-59,1,15792.84555,58,9,,
139,-54,0,13348.511537,43,7,,
140,-54,1,13519.52881,47,8,,
141,-54,0,13792.360141,43,7,,
142,-42,3,32733.110528,60,14,,
143,-52,2,18093.405516,51,9,,
144,-53,0,14207.857165,43,7,,
145,-56,1,14599.24144,51,8,,
146,-55,0,16211.276435,44,7,,
147,-40,3,25258.258442,63,11,,
148,-52,2,17931.194832,51,10,,
149,-56,1,23945.98657,53,10,,
150,-44,2,23623.331842,55,10,,
151,-53,0,13193.217798,43,7,,
152,-54,0,15808.161083,44,7,,
153,-54,0,14308.036328,43,7,,
154,-54,0,13704.996528,44,7,,
155,-48,4,39732.048833,52,15,,
156,-51,1,18685.508317,57,9,,
157,-54,0,16398.157005,44,7,,
158,-52,2,19604.739503,46,9,,
159,-58,1,22533.508384,55,10,,
160,-51,1,16139.722853,52,10,,
161,-52,1,21117.861793,54,10,,
162,-56,0,11109.226968,50,8,,
163,-56,1,22267.872823,51,9,,
164,-54,0,16714.45214,44,7,,
165,-53,3,28566.629412,49,11,,
166,-54,0,14583.041982,44,7,,
167,-54,0,18766.096873,44,7,,
168,-57,0,16183.682391,52,8,,
169,-58,1,13813.046725,55,9,,
170,-55,2,26486.963455,52,10,,
171,-46,1,19559.831691,52,9,,
172,-54,1,18526.835223,48,8,,
173,-53,2,27267.032422,54,11,,
174,-54,0,16010.27551,44,7,,
175,-49,1,19528.504245,63,10,,
176,-53,0,12415.958699,43,7,,
177,-53,0,13149.790757,43,7,,
178,-53,3,38009.814045,53,12,,
179,-50,1,23780.827238,52,10,,
180,-47,2,33578.378992,63,13,,
181,-47,2,25160.234828,50,11,,
182,-56,2,25170.112769,53,10,,
183,-54,0,13365.547729,44,7,,
184,-54,0,18228.146351,44,7,,
185,-56,0,15868.036445,51,8,,
186,-53,0,13228.938476,43,7,,
187,-54,0,14817.78553,44,7,,
188,-49,0,69.21463,105,50,,
189,-56,4,25367.933487,56,11,,
