Iteration,Setpoint Average,Resources Harvested,Net Reward,Standard Deviation for Setpoints,Duration (seconds),,
1,0,0,0.0,0,0,,
2,-55,1,153.012362,0,9,,
3,-53,0,21.3,0,7,,
4,-49,1,66.507129,0,9,,
5,-46,4,317.004343,0,12,,
6,-54,0,16.7,0,7,,
7,-56,0,24.7,0,8,,
8,-56,0,13.5,0,8,,
9,-54,1,108.553832,0,9,,
10,-55,1,125.72211,0,10,,
11,-53,1,134.309927,0,9,,
12,-55,1,72.8,0,7,,
13,-57,0,62.0,0,8,,
14,-57,0,18.5,0,8,,
15,-54,1,121.437502,0,10,,
16,-53,1,120.214259,0,9,,
17,-55,1,67.751294,0,8,,
18,-46,2,164.06023,0,10,,
19,-46,2,170.134459,0,10,,
20,-54,0,20.4,0,7,,
21,-54,1,78.085731,0,9,,
22,-48,5,386.019342,0,14,,
23,-53,0,-2.2,0,7,,
24,-47,2,233.44682,0,11,,
25,-55,0,5.6,0,7,,
26,-44,4,247.65281,0,11,,
27,-57,1,52.075924,0,8,,
28,-53,0,19.0,0,7,,
29,-54,0,62.0,0,7,,
30,-53,0,28.7,0,7,,
31,-54,0,18.6,0,7,,
32,-52,2,220.090249,0,12,,
33,-56,1,80.026778,0,8,,
34,-53,0,37.8,0,7,,
35,-53,0,5.6,0,7,,
36,-53,0,52.8,0,7,,
37,-51,1,110.937502,0,10,,
38,-54,2,76.415505,0,8,,
39,-53,1,183.965628,0,10,,
40,-57,0,16.9,0,8,,
41,-49,2,118.715779,0,9,,
42,-54,0,19.7,0,7,,
43,-55,1,39.549283,0,8,,
44,-55,2,182.85574,0,11,,
45,-48,3,299.092072,0,12,,
46,-54,0,14.8,0,7,,
47,-53,0,22.8,0,7,,
48,-53,0,19.8,0,7,,
49,-52,1,186.382478,0,10,,
50,-55,1,198.200901,0,10,,
51,-54,0,28.1,0,7,,
52,-47,1,154.446877,0,10,,
53,-54,0,-6.2,0,7,,
54,-52,2,209.186068,0,10,,
55,-54,0,22.3,0,7,,
56,-54,0,22.5,0,7,,
57,-51,1,116.86744,0,9,,
58,-56,0,25.9,0,8,,
59,-52,2,228.405266,0,10,,
60,-54,0,3.7,0,7,,
61,-54,0,24.1,0,7,,
62,-56,1,81.836246,0,8,,
63,-52,1,59.199571,0,9,,
64,-48,3,342.173292,0,13,,
65,-54,0,30.5,0,7,,
66,-49,1,147.524025,0,10,,
67,-53,0,10.9,0,7,,
68,-55,1,90.081241,0,8,,
69,-55,3,281.259816,0,11,,
70,-54,3,295.910789,0,12,,
71,-58,1,145.412804,0,9,,
72,-52,1,36.86191,0,9,,
73,-49,3,185.92412,0,12,,
74,-55,2,251.221088,0,11,,
75,-53,0,3.9,0,7,,
76,-50,1,50.932976,0,8,,
77,-54,4,283.066426,0,14,,
78,-58,1,98.632976,0,10,,
79,-42,3,297.94756,0,12,,
