Iteration,Setpoint Average,Resources Harvested,Net Reward,Standard Deviation for Setpoints,Duration (seconds),,
1,0,0,0.0,0,0,,
2,-59,1,5100.617819,54,8,,
3,-50,3,17543.196713,44,11,,
4,-53,1,6923.413457,45,8,,
5,-47,2,8440.123677,51,8,,
6,-57,1,4707.144124,47,7,,
7,-54,0,4082.359093,41,6,,
8,-54,2,6683.933993,47,9,,
9,-58,1,6055.710672,52,8,,
10,-54,1,4489.363942,40,6,,
11,-54,1,4551.325443,41,6,,
12,-57,1,5229.10268,51,8,,
13,-54,0,4545.365756,42,6,,
14,-55,1,4322.114136,45,7,,
15,-54,1,4807.058222,42,6,,
16,-55,0,4692.907584,43,6,,
17,-59,2,6750.544327,54,8,,
18,-55,0,4801.213802,42,6,,
19,-44,4,12154.451599,59,11,,
20,-54,0,4375.996316,42,6,,
21,-57,0,4461.301272,49,7,,
22,-55,0,4826.322186,42,6,,
23,-55,0,4823.929932,42,6,,
24,-55,0,4830.561142,42,6,,
25,-54,0,4866.51983,42,6,,
26,-57,3,7068.295654,52,9,,
27,-55,0,4403.841022,42,6,,
28,-55,0,4649.317277,43,6,,
29,-56,0,4536.813169,43,6,,
30,-55,1,4530.279171,42,6,,
31,-54,1,5023.987867,41,6,,
32,-55,0,4785.736446,43,6,,
33,-56,1,7929.451572,48,8,,
34,-54,1,5137.668599,46,8,,
35,-55,1,4785.169631,44,7,,
36,-55,0,4592.045156,42,6,,
37,-54,0,4335.038008,41,6,,
38,-56,1,4763.574575,46,7,,
39,-53,1,4367.378815,39,6,,
40,-51,1,5827.452593,47,7,,
41,-55,0,5097.941456,43,6,,
42,-55,1,4758.74518,42,6,,
43,-54,1,4084.407451,40,6,,
44,-56,1,5002.44263,47,7,,
45,-57,1,5374.343637,49,7,,
46,-55,0,4691.075404,42,6,,
47,-55,0,4788.767344,42,6,,
48,-55,1,4685.267392,44,7,,
49,-53,2,10419.562054,63,9,,
50,-49,2,8015.416853,45,9,,
51,-45,6,22480.032141,50,15,,
52,-54,0,4848.868629,42,6,,
53,-55,0,9459.992216,42,6,,
54,-55,1,7267.987487,46,8,,
55,-53,1,5247.098063,47,8,,
56,-55,0,4483.105047,42,6,,
57,-50,2,11088.091287,51,9,,
58,-52,3,8285.728153,46,9,,
59,-55,0,4763.92389,42,6,,
60,-57,1,6777.197107,48,8,,
61,-48,1,5598.406321,45,7,,
62,-55,0,4956.539383,42,6,,
63,-55,0,4476.471986,42,6,,
64,-55,0,4648.889671,43,6,,
65,-49,3,6039.207925,50,9,,
66,-45,3,8942.276414,53,9,,
67,-55,0,4348.847845,42,6,,
68,-55,0,4934.430015,43,6,,
69,-56,1,4418.558617,48,7,,
70,-55,0,4711.155429,42,6,,
71,-54,0,4738.444648,42,6,,
72,-55,0,5335.826013,42,6,,
73,-46,4,14709.517433,72,13,,
74,-51,2,6725.408519,42,8,,
75,-55,0,4785.540605,42,6,,
76,-59,2,5443.837099,54,8,,
77,-55,0,4769.038258,43,6,,
78,-55,0,4563.891993,42,6,,
79,-53,1,4897.16945,42,7,,
80,-54,2,4497.044308,45,8,,
81,-55,0,4460.632441,42,6,,
82,-54,1,4374.568808,40,6,,
83,-56,2,8264.145525,55,9,,
84,-55,0,4781.075451,42,6,,
85,-52,1,4848.385474,39,6,,
86,-55,0,4620.747929,42,6,,
87,-54,1,4350.060256,40,6,,
88,-54,1,6324.232856,45,8,,
89,-55,0,4829.678349,42,6,,
90,-55,0,5080.778603,42,6,,
91,-54,0,6852.454437,42,6,,
92,-57,1,8331.608845,49,7,,
93,-55,0,4487.240367,43,6,,
94,-58,1,5478.738489,52,8,,
95,-55,0,4411.575338,43,6,,
96,-58,2,5577.438169,49,7,,
97,-55,0,5392.601341,42,6,,
98,-53,2,6591.39014,50,9,,
99,-54,1,4282.794559,41,6,,
100,-55,0,4591.749065,42,6,,
101,-53,3,7565.409428,48,10,,
102,-50,3,5635.284881,53,8,,
103,-55,0,6004.882916,43,6,,
104,-59,3,5507.176006,55,9,,
105,-56,0,4768.116259,44,6,,
106,-55,0,4511.035242,42,6,,
107,-54,2,4765.154285,49,8,,
108,-55,3,6898.434289,57,9,,
109,-55,0,10060.361759,42,6,,
110,-52,1,5797.063442,47,8,,
111,-54,2,4481.07214,43,7,,
112,-54,0,4095.966215,42,6,,
113,-56,2,5766.690998,57,9,,
114,-50,3,7438.852137,55,9,,
115,-52,1,4569.636205,39,6,,
116,-58,4,10940.365017,52,9,,
117,-52,1,11614.160871,43,8,,
118,-58,2,5409.73329,53,8,,
119,-52,4,13256.690824,56,11,,
120,-58,1,5118.423804,52,8,,
121,-53,1,5351.108936,47,8,,
122,-55,0,4833.13899,43,6,,
123,-51,1,12083.547945,55,8,,
124,-55,0,4536.648369,42,6,,
125,-55,0,4471.473708,43,6,,
126,-55,0,5248.933079,42,6,,
127,-48,1,9575.518865,47,8,,
128,-48,3,11306.366254,55,10,,
129,-55,1,5457.243447,45,7,,
130,-48,1,9755.045073,56,8,,
131,-54,0,4473.70569,42,6,,
132,-58,2,5653.082493,53,8,,
133,-55,2,5053.442426,49,7,,
134,-51,1,5585.216602,50,8,,
135,-48,1,13053.49206,54,8,,
136,-52,2,6229.218625,54,8,,
137,-52,1,5364.151579,46,8,,
138,-55,0,4742.706491,42,6,,
139,-54,0,4494.031645,42,6,,
140,-54,1,4668.229722,42,6,,
141,-54,0,4655.196611,42,6,,
142,-47,3,19597.818639,70,10,,
143,-55,0,5419.529144,42,6,,
144,-53,1,5579.3733,55,8,,
145,-54,0,4659.059387,41,6,,
146,-55,0,5333.595505,42,6,,
147,-57,1,4942.512011,50,7,,
148,-49,2,7531.000919,49,9,,
149,-50,2,8637.921417,49,9,,
150,-57,0,4428.770846,50,7,,
151,-55,0,4885.571361,43,6,,
152,-55,0,4704.500978,42,6,,
153,-55,0,4365.695671,43,6,,
154,-57,1,4726.455215,48,7,,
155,-49,2,14464.43174,63,9,,
156,-54,0,4480.761944,42,6,,
157,-49,3,8579.023389,42,9,,
158,-56,1,5104.099236,50,8,,
159,-55,0,4516.061857,42,6,,
160,-54,1,4307.428518,40,6,,
161,-57,2,5591.958653,49,7,,
162,-55,0,4334.955942,42,6,,
163,-56,1,5427.944919,48,7,,
164,-55,0,7504.698021,43,6,,
165,-53,1,8337.270777,48,8,,
166,-57,0,4366.113587,49,7,,
167,-54,1,5620.43007,49,8,,
168,-55,0,4691.364442,42,6,,
169,-56,1,5155.088319,51,7,,
170,-55,0,4605.402432,43,6,,
171,-55,0,6837.003845,42,6,,
172,-50,3,5239.943517,45,8,,
173,-57,1,6026.09188,49,8,,
174,-55,1,4668.970518,44,7,,
175,-50,2,13352.031145,60,9,,
176,-55,0,4373.603106,43,6,,
177,-52,2,5019.289701,47,8,,
178,-55,0,4942.047907,43,6,,
179,-57,0,7737.237594,49,7,,
180,-55,0,4536.397494,42,6,,
181,-54,0,4696.440541,42,6,,
182,-54,0,4675.742671,42,6,,
183,-55,0,4761.739016,42,6,,
184,-55,1,5224.902454,45,7,,
185,-53,1,4555.23929,40,6,,
186,-55,0,10643.365002,42,6,,
187,-54,0,9889.045761,42,6,,
188,-50,0,2875.246732,65,18,,
189,-54,0,11866.235701,42,6,,
190,-54,0,4624.669482,42,6,,
191,-55,2,6828.087567,48,8,,
192,-49,1,9150.710688,55,8,,
193,-55,0,4759.402174,42,6,,
194,-54,1,4083.137466,40,6,,
195,-57,1,4883.558213,50,7,,
196,-54,1,4450.405581,42,6,,
197,-56,1,5203.604822,48,7,,
198,-43,2,17682.407513,53,9,,
199,-55,0,4525.283111,42,6,,
200,-54,0,4680.224461,42,6,,
201,-49,1,10752.479675,48,8,,
202,-55,0,4687.428151,42,6,,
203,-54,2,5239.091165,47,8,,
204,-54,0,4266.41484,41,6,,
205,-55,1,4993.658853,44,7,,
206,-54,0,4793.700576,41,6,,
207,-53,1,5871.996885,49,7,,
208,-56,0,4386.401488,43,6,,
209,-58,2,12583.718954,54,10,,
210,-44,6,14663.223016,60,13,,
211,-55,0,4680.033179,43,6,,
212,-55,0,4432.732226,42,6,,
213,-54,0,4797.96355,42,6,,
214,-53,1,4276.118319,38,6,,
215,-55,0,4708.058575,42,6,,
216,-55,0,4658.463474,42,6,,
217,-54,1,8281.615014,45,8,,
218,-55,0,4522.8646,43,6,,
219,-54,1,4991.999774,44,7,,
220,-56,1,5541.913307,48,8,,
221,-46,3,8115.101652,53,10,,
222,-55,0,4659.580661,42,6,,
223,-54,1,4487.214548,44,7,,
224,-55,0,4580.971941,42,6,,
225,-58,3,11066.290055,56,11,,
226,-55,0,4616.534649,42,6,,
227,-54,1,4647.831636,42,7,,
228,-59,1,5640.593234,53,8,,
229,-55,0,4551.050821,42,6,,
230,-57,2,5075.040479,52,9,,
231,-51,1,6552.613289,44,8,,
232,-55,0,8093.386245,43,6,,
233,-55,0,4983.017015,42,6,,
234,-55,0,4471.954559,43,6,,
235,-55,0,9568.325345,42,6,,
236,-45,2,15109.929307,60,9,,
237,-54,1,5323.452063,50,7,,
238,-55,0,4310.916412,43,6,,
239,-57,2,13536.552697,51,9,,
240,-56,1,5345.501908,50,7,,
241,-50,4,11501.654098,63,11,,
242,-54,1,4314.749555,41,6,,
243,-55,0,4633.075195,42,6,,
244,-56,1,4937.568291,45,7,,
245,-54,0,4518.595641,42,6,,
246,-51,2,5255.816403,50,8,,
247,-53,2,7562.850793,57,8,,
248,-55,2,5808.641305,48,8,,
249,-57,1,5076.746565,48,7,,
250,-50,1,8815.387426,50,8,,
251,-55,1,5014.782007,45,7,,
252,-56,2,5706.787729,52,8,,
253,-57,2,5044.424724,48,8,,
254,-55,1,4587.678113,42,6,,
255,-55,0,4549.846122,42,6,,
256,-57,0,4567.504905,49,7,,
257,-55,0,4477.151631,42,6,,
258,-55,2,4997.162873,48,8,,
259,-55,0,4318.996145,42,6,,
260,-45,3,13402.773682,56,11,,
261,-54,0,6731.800117,42,6,,
262,-55,0,4462.491968,42,6,,
263,-55,0,4717.298347,42,6,,
264,-55,0,4893.006687,42,6,,
265,-53,2,4835.320569,50,8,,
266,-55,0,4643.515802,42,6,,
267,-56,0,4556.772285,47,7,,
268,-55,0,4269.708192,42,6,,
269,-48,1,9128.517997,47,8,,
270,-56,2,4777.303338,46,7,,
271,-55,0,5440.44651,42,6,,
272,-55,0,4528.540071,43,6,,
273,-52,1,5371.017388,41,7,,
274,-54,0,4204.584259,42,6,,
275,-55,0,5092.549599,43,6,,
276,-55,0,4036.461139,42,6,,
277,-55,0,4772.066273,42,6,,
278,-55,0,4488.871545,42,6,,
279,-54,1,7242.538577,46,8,,
280,-55,0,4550.247319,42,6,,
281,-55,1,4932.829651,44,7,,
282,-48,2,5304.499979,44,8,,
283,-55,0,4708.62819,42,6,,
284,-55,0,4621.996406,42,6,,
285,-54,0,4728.824398,42,6,,
286,-52,1,4167.431515,40,6,,
287,-50,2,9952.73439,52,10,,
288,-52,2,6656.416616,48,9,,
289,-57,3,8111.106079,54,10,,
290,-55,0,5150.215713,42,6,,
291,-46,3,8876.881407,47,8,,
292,-55,0,4861.519633,42,6,,
293,-56,1,4937.104623,46,7,,
294,-57,1,5331.044937,48,7,,
295,-55,1,4593.331714,43,6,,
296,-56,1,6321.710876,48,7,,
297,-55,0,7503.472545,42,6,,
298,-55,1,4833.062588,43,7,,
299,-55,0,5790.633006,42,6,,
300,-55,1,4433.844295,44,7,,
301,-50,3,12904.861462,58,9,,
302,-52,1,4645.190178,44,7,,
303,-50,1,7273.105301,50,8,,
304,-50,2,4876.399565,41,7,,
305,-48,2,5416.586319,45,8,,
306,-51,1,5282.85929,40,7,,
307,-55,0,4818.750533,43,6,,
308,-54,0,6175.768511,42,6,,
309,-55,0,4810.899755,43,6,,
310,-55,0,7268.218608,42,6,,
311,-51,1,4842.31971,43,7,,
312,-51,1,6428.807702,50,8,,
313,-55,0,4906.967811,42,6,,
314,-58,7,15758.758028,60,12,,
315,-49,1,9376.036477,55,8,,
316,-54,0,4524.249467,41,6,,
317,-53,0,6872.973059,40,6,,
318,-54,1,4512.555344,42,6,,
319,-54,0,4261.431833,41,6,,
320,-53,1,6030.031263,47,8,,
321,-57,1,5791.887641,49,8,,
322,-53,1,5168.294093,47,8,,
323,-46,2,10665.525764,54,10,,
324,-48,1,8880.922726,48,8,,
325,-56,1,4691.977715,47,7,,
326,-55,0,4649.533035,43,6,,
327,-55,0,4606.634546,43,6,,
328,-50,3,6975.757979,43,9,,
329,-55,0,4764.661592,42,6,,
330,-51,3,7469.785249,44,10,,
331,-51,1,5081.083015,43,7,,
332,-55,2,7067.523614,48,8,,
333,-48,1,7819.6223,48,8,,
334,-47,1,11750.347388,54,8,,
335,-54,1,5056.130597,49,8,,
336,-55,0,4842.428336,42,6,,
337,-54,2,4206.832417,45,7,,
338,-59,1,5143.286835,54,8,,
339,-54,0,4521.182089,41,6,,
340,-55,0,4459.069241,42,6,,
341,-55,0,4696.199308,43,6,,
342,-52,1,5458.231368,44,7,,
343,-55,2,5283.496757,45,7,,
344,-53,2,12864.654195,47,9,,
345,-55,0,4648.892152,42,6,,
346,-57,1,5084.899158,49,7,,
347,-54,0,4483.421671,42,6,,
348,-54,4,9235.476776,47,10,,
349,-53,4,10035.507077,64,10,,
350,-53,2,5203.031013,46,7,,
351,-55,0,4963.385346,43,6,,
352,-42,4,16463.995977,61,12,,
353,-53,1,4571.673623,41,7,,
354,-56,5,13419.509372,55,10,,
355,-54,0,3964.543465,41,6,,
356,-53,3,10310.980864,43,9,,
357,-42,3,13238.645035,66,11,,
358,-55,0,8631.29903,42,6,,
359,-52,2,6142.531264,53,8,,
360,-47,3,11936.56514,52,10,,
361,-53,1,4639.480049,42,7,,
362,-52,3,8927.094277,56,10,,
363,-45,1,11402.468572,53,8,,
364,-55,1,5295.604832,44,7,,
365,-55,0,4609.179098,42,6,,
366,-54,0,4591.003548,42,6,,
367,-55,0,4990.996347,42,6,,
368,-56,1,4642.447181,45,7,,
369,-57,1,6528.122038,49,8,,
370,-54,0,4415.173276,42,6,,
371,-51,4,15471.435718,50,12,,
372,-54,2,5880.499508,54,9,,
373,-53,1,4697.906306,41,7,,
374,-55,1,4554.086332,41,6,,
375,-48,4,6355.670422,46,9,,
376,-50,6,15153.328915,69,12,,
377,-55,0,4504.445978,42,6,,
378,-59,2,6116.008573,55,8,,
379,-56,2,5018.755764,47,8,,
380,-57,2,7828.919055,51,8,,
381,-50,3,5827.354148,51,9,,
382,-51,1,8066.906815,46,7,,
383,-49,3,9460.773476,51,9,,
384,-55,0,4410.132675,42,6,,
385,-51,1,4430.455326,43,7,,
386,-53,4,6259.574689,49,10,,
387,-55,0,8572.668898,42,6,,
388,-55,0,4360.003294,42,6,,
389,-50,3,8259.172092,61,10,,
390,-56,0,4709.430649,43,6,,
391,-49,2,8520.190106,51,8,,
392,-54,3,7416.196724,47,9,,
393,-58,1,7065.657031,52,8,,
394,-51,1,6629.558422,51,8,,
395,-52,2,4630.053292,45,8,,
396,-55,0,5301.664719,42,6,,
397,-55,0,4708.159112,42,6,,
398,-53,1,6902.253832,44,8,,
399,-55,0,4715.721644,43,6,,
400,-58,1,5656.496433,52,8,,
401,-55,0,4721.616201,42,6,,
402,-55,0,4709.138317,42,6,,
403,-50,5,11784.75057,44,11,,
404,-54,0,5853.584446,41,6,,
405,-53,2,10616.097888,66,10,,
406,-56,0,6804.296868,44,6,,
407,-53,1,4439.813996,42,7,,
408,-55,0,4642.612053,42,6,,
409,-54,0,4381.001344,41,6,,
410,-59,3,12681.544906,57,11,,
411,-54,2,4733.939038,42,7,,
412,-47,2,21053.83203,56,10,,
413,-55,0,4696.257176,42,6,,
414,-45,4,18131.174896,51,12,,
415,-51,2,4551.728356,39,7,,
416,-54,0,4181.966792,41,6,,
417,-49,3,14380.35997,53,9,,
418,-55,0,4696.249063,42,6,,
419,-53,1,5170.195554,43,7,,
420,-55,0,4231.243992,42,6,,
421,-55,0,4803.415446,42,6,,
422,-55,1,4715.522844,44,7,,
423,-59,1,5412.144281,53,8,,
424,-57,0,4384.318364,44,6,,
425,-48,1,8577.092208,53,8,,
426,-57,2,5255.021748,50,8,,
427,-55,0,4127.497082,42,6,,
428,-58,1,6119.744753,52,8,,
429,-50,3,5148.362484,48,8,,
430,-54,0,4508.553815,42,6,,
431,-55,0,4566.363241,43,6,,
432,-54,0,4687.84379,42,6,,
433,-57,1,10455.262938,48,8,,
434,-55,1,4796.712364,47,8,,
435,-51,1,9005.449202,50,8,,
436,-54,0,4557.218009,42,6,,
437,-58,0,4667.522203,51,7,,
