Iteration Count,Setpoint Average,Rewards Harvested,Learning Rewards Given,Seconds Elapsed,,
1,0,0,0,0,,
2,-24,7,424,18,,
3,-21,70,25462,115,,
4,0,19,2561,34,,
5,-29,0,202,8,,
6,2,41,18314,69,,
7,-8,14,14782,29,,
8,-10,14,2816,29,,
9,-24,5,876,16,,
10,-28,6,525,17,,
11,-17,13,1728,28,,
12,-24,16,2065,32,,
13,-23,17,1354,34,,
14,-17,10,977,23,,
15,-28,5,533,16,,
16,-25,15,734,31,,
17,-17,2,286,8,,
18,-18,8,7230,20,,
19,-27,17,921,34,,
20,-16,12,1921,26,,
21,-5,33,4398,58,,
22,-24,6,466,17,,
23,-24,7,357,17,,
24,-24,23,8080,46,,
25,-27,5,367,16,,
26,-7,42,26195,73,,
27,-5,22,4521,34,,
28,-17,8,2183,20,,
29,-15,24,4714,44,,
30,-18,4,2660,14,,
31,-25,11,1016,25,,
32,-27,7,6632,19,,
33,-7,30,3281,51,,
34,-15,9,2234,22,,
35,-28,1,349,10,,
36,-31,4,297,15,,
37,-20,11,2467,25,,
38,-29,6,362,17,,
39,-15,15,19248,31,,
40,-16,21,4448,41,,
41,-16,2,439,8,,
42,-16,6,1900,17,,
43,-16,17,5668,34,,
44,-14,16,4387,32,,
45,-24,11,830,25,,
46,-11,14,6271,29,,
47,-20,7,2274,19,,
48,17,13,233,17,,
49,-31,4,307,14,,
50,-14,21,17132,40,,
51,-11,20,4276,38,,
52,21,13,235,12,,
53,-31,10,427,25,,
54,-18,18,4680,36,,
55,-19,4,245,8,,
56,-20,34,8964,61,,
57,-29,11,488,27,,
58,-18,11,1305,24,,
59,-26,11,538,25,,
60,-28,1,262,10,,
61,-23,5,661,16,,
62,3,7,5142,8,,
63,-11,17,5157,34,,
64,-26,5,380,16,,
65,-33,3,229,13,,
66,-25,4,471,14,,
67,-23,5,384,15,,
68,-24,5,1128,16,,
69,-22,5,2491,16,,
70,-23,7,946,19,,
71,-27,10,506,23,,
72,-23,2,206,8,,
73,-20,12,984,27,,
74,-11,12,4978,26,,
75,-31,2,204,11,,
76,-26,4,623,14,,
77,-19,17,2910,33,,
78,-13,7,899,19,,
79,12,17,2883,18,,
80,-16,17,1114,25,,
81,1,32,7662,85,,
82,-32,1,203,10,,
