Iteration Count,Setpoint Average,Rewards Harvested,Learning Rewards Given,Seconds Elapsed,,
1,0,0,0,0,,
2,-22,29,34,34,,
3,23,12,8,10,,
4,31,7,-1,3,,
5,12,25,42,30,,
6,27,14,0,13,,
7,29,17,1,18,,
8,-30,4,7,14,,
9,22,15,9,12,,
10,26,16,-36,16,,
11,17,11,5,9,,
12,-3,4,16,8,,
13,25,36,-22,47,,
14,19,18,6,18,,
15,19,17,12,18,,
16,24,9,0,6,,
17,17,19,6,20,,
18,13,32,89,41,,
19,-5,19,43,25,,
20,16,23,3,27,,
21,22,9,2,6,,
22,7,16,53,15,,
23,21,14,73,13,,
24,24,9,1,6,,
25,16,25,92,30,,
26,28,15,0,15,,
27,16,14,8,13,,
28,25,10,0,6,,
29,-4,28,37,34,,
30,22,10,0,8,,
31,19,19,19,20,,
32,23,23,13,27,,
33,14,27,60,33,,
34,11,15,18,14,,
35,23,19,6,20,,
36,18,19,17,20,,
37,25,11,-1,8,,
38,-14,18,26,25,,
39,29,10,-1,7,,
40,10,25,28,30,,
41,17,22,26,24,,
42,12,18,166,19,,
43,25,18,4,19,,
44,10,14,4,11,,
45,1,14,16,13,,
46,19,25,25,30,,
47,33,10,-1,7,,
48,0,8,8,8,,
49,33,10,-8,8,,
50,14,15,8,14,,
51,25,19,12,21,,
52,21,20,65,22,,
53,15,15,15,15,,
54,29,12,-3,9,,
55,6,22,59,24,,
56,20,12,21,9,,
57,5,15,26,14,,
58,31,17,-1,16,,
59,39,13,-248,11,,
60,27,11,0,8,,
61,12,29,185,34,,
62,25,14,1,10,,
63,9,19,34,21,,
64,11,11,16,9,,
65,19,14,4,11,,
66,14,12,6,10,,
67,8,18,30,18,,
68,0,27,33,33,,
69,26,16,4,16,,
70,0,6,22,8,,
71,17,8,1,4,,
72,17,22,23,25,,
73,-8,35,76,46,,
74,4,14,6,12,,
75,12,14,5,11,,
76,16,13,5,11,,
77,15,38,83,48,,
78,9,13,61,17,,
79,22,19,16,21,,
80,19,24,25,28,,
81,13,16,2,16,,
82,7,14,8,12,,
83,14,42,131,60,,
84,15,18,11,18,,
85,0,13,140,17,,
86,-1,29,118,36,,
87,18,14,-35,13,,
88,8,14,50,12,,
89,-2,22,75,24,,
90,28,12,-17,10,,
91,10,18,17,19,,
92,15,29,56,35,,
93,30,18,24,19,,
94,30,9,-5,6,,
95,8,15,25,15,,
96,7,24,55,27,,
97,14,18,40,19,,
98,24,34,39,43,,
99,16,20,12,20,,
100,29,11,-1,8,,
101,14,13,7,12,,
102,12,15,14,17,,
103,11,36,65,47,,
104,19,13,15,12,,
105,19,11,0,9,,
106,24,34,27,43,,
107,12,29,47,36,,
108,25,10,0,7,,
109,3,14,23,17,,
110,17,25,50,29,,
111,28,15,1,15,,
112,6,42,125,54,,
113,7,14,1,13,,
114,-29,0,3,8,,
