Iteration Count,Setpoint Average,Rewards Harvested,Learning Rewards Given,Seconds Elapsed,,
1,0,0,0,0,,
2,-69,28,1238,60,,
3,-37,33,4562,60,,
4,20,35,8508,51,,
5,-67,29,11017,60,,
6,-66,29,2281,60,,
7,-33,28,1371,51,,
8,-91,23,1365,60,,
9,-53,28,11821,60,,
10,-54,20,4043,51,,
11,-49,26,12905,60,,
12,8,41,16120,60,,
13,-52,27,1324,51,,
14,-53,29,4123,60,,
15,-5,38,10790,60,,
16,-64,19,3780,52,,
17,-49,29,5878,60,,
18,-31,34,6916,60,,
19,-22,32,1711,51,,
20,-61,28,1615,60,,
21,-97,19,1164,60,,
22,-57,25,1391,51,,
23,-72,26,1298,60,,
24,-45,30,10841,60,,
25,-42,24,2129,51,,
26,13,35,3724,60,,
27,-42,29,2607,60,,
28,-39,25,6674,52,,
29,-15,33,13018,60,,
30,3,41,20676,60,,
31,-27,30,2500,51,,
32,-77,26,1108,60,,
33,0,37,20611,60,,
34,-73,21,961,51,,
35,-73,29,1231,60,,
36,-49,30,7328,60,,
37,-20,31,18475,51,,
38,-36,27,9388,60,,
39,-34,32,12409,60,,
40,-31,29,12076,52,,
41,-76,24,13205,60,,
42,-67,26,5670,60,,
43,22,31,15797,51,,
44,-55,27,2615,60,,
45,-49,27,3081,60,,
46,11,35,15206,51,,
47,-64,26,6162,60,,
48,-113,18,1147,60,,
49,-13,27,54407,51,,
50,-78,25,1640,60,,
51,-80,24,7092,60,,
52,-57,20,11349,51,,
53,-20,34,8560,60,,
54,-20,36,4928,60,,
55,-97,19,1367,52,,
56,-43,32,1423,60,,
57,-27,33,2320,60,,
58,-98,18,806,51,,
59,-25,34,9715,60,,
60,-6,37,6847,60,,
61,-40,25,2046,51,,
62,-72,27,1280,60,,
63,-42,28,4187,60,,
64,-27,24,3998,51,,
65,-52,31,2354,60,,
66,-85,23,2417,60,,
67,-46,24,2991,52,,
68,-98,21,4795,60,,
69,-33,38,1562,60,,
70,-42,25,4074,51,,
71,-48,28,2374,60,,
72,-98,21,1075,60,,
73,-101,15,1654,51,,
74,-67,29,3843,60,,
75,-77,27,1269,60,,
76,-96,13,2238,51,,
77,-37,33,3968,60,,
78,-55,28,3687,60,,
79,-82,20,2063,52,,
80,-28,35,2088,60,,
81,-64,28,1569,60,,
82,-71,20,1654,51,,
83,-70,24,1502,60,,
84,-27,35,32689,60,,
85,-34,30,2195,51,,
86,-104,16,1352,60,,
87,-105,15,1328,60,,
88,-50,23,3374,51,,
89,-37,32,1886,60,,
90,-65,28,6885,60,,
91,-64,23,1757,51,,
92,-65,26,1589,61,,
93,-80,24,1136,60,,
94,-59,23,1135,51,,
95,-47,29,8378,60,,
96,-56,30,1197,60,,
97,-83,18,1518,51,,
98,-52,29,1353,60,,
99,-74,26,4776,60,,
100,-46,26,1701,51,,
101,-38,29,7850,60,,
102,9,39,3236,60,,
103,6,33,3742,51,,
104,-62,27,2645,60,,
105,-101,22,2489,60,,
106,-27,28,4012,52,,
107,-21,32,35190,60,,
108,-30,35,1573,60,,
109,-38,26,2079,51,,
110,-100,19,1208,60,,
111,-41,30,6672,60,,
112,-31,23,5521,51,,
113,-48,33,7287,60,,
114,-42,31,4660,60,,
115,-69,19,1622,51,,
116,-86,20,1739,60,,
117,-63,27,1667,60,,
118,-19,29,3719,52,,
119,-80,22,7079,60,,
120,-36,30,15808,60,,
121,-45,25,2025,51,,
122,-22,31,3964,60,,
123,-43,34,3009,60,,
124,-25,30,2349,51,,
125,-79,26,2111,60,,
126,-54,31,1385,60,,
127,-44,20,6090,51,,
128,-36,32,4652,60,,
129,-48,27,6383,60,,
130,-36,29,2136,52,,
131,-129,20,738,60,,
132,-45,31,1656,60,,
133,-13,30,9710,51,,
134,-34,29,5740,60,,
135,-16,37,2457,60,,
136,-19,26,11733,51,,
137,-94,21,37551,60,,
138,-43,30,5964,60,,
139,-22,26,9873,51,,
140,-103,20,1328,60,,
141,-48,28,2120,60,,
142,-61,28,5704,51,,
143,-30,30,7108,60,,
144,-18,39,5105,60,,
145,-59,26,1020,52,,
146,-77,26,1268,60,,
147,-37,27,2541,60,,
148,-42,23,5732,51,,
149,-76,27,2012,60,,
150,-50,32,1478,60,,
151,-64,20,1673,51,,
152,-83,30,1252,60,,
153,-39,28,21277,60,,
154,-118,13,1094,51,,
155,-64,27,2833,60,,
156,-70,30,6883,60,,
157,-67,21,2166,52,,
158,-75,26,1323,60,,
159,-97,21,1397,60,,
160,-21,26,4120,51,,
161,-70,24,7038,60,,
162,-23,31,19437,60,,
163,-43,26,2881,51,,
164,-56,31,1404,60,,
165,-33,36,33494,60,,
166,-47,31,1362,51,,
167,-58,24,6483,60,,
168,-80,22,1622,60,,
169,-40,27,5171,52,,
170,-110,21,2040,60,,
171,-58,32,1840,60,,
172,-58,21,3535,51,,
173,-27,32,4602,60,,
174,-28,26,13332,60,,
175,-20,25,2708,51,,
176,-67,26,1339,60,,
177,-80,25,1384,60,,
178,-73,20,1148,51,,
179,-45,38,1419,60,,
180,-62,27,1574,60,,
181,-52,20,2123,51,,
182,-116,17,977,61,,
183,-60,25,3387,60,,
184,-72,21,1022,51,,
185,-42,32,6700,60,,
186,-27,37,2164,60,,
187,-46,29,1131,51,,
188,-36,28,2214,60,,
189,-84,21,1236,60,,
190,-32,25,8887,51,,
191,-48,30,12885,60,,
192,-75,28,1281,60,,
193,-24,26,11843,51,,
194,-66,25,4764,60,,
195,-14,36,30469,60,,
196,-54,27,3175,52,,
197,-65,26,1137,60,,
198,-62,29,2500,60,,
199,-45,28,3634,51,,
200,-12,37,25850,60,,
201,-76,25,2159,60,,
202,-23,28,9761,51,,
