Iteration Count,Setpoint Average,Rewards Harvested,Learning Rewards Given,Seconds Elapsed,,
230,-22,37,1639,60,,
231,-23,35,1748,60,,
232,-71,18,460,51,,
233,-38,33,1179,60,,
234,-36,32,14872,60,,
235,-27,29,1662,52,,
236,-31,35,2609,60,,
237,-37,29,615,60,,
238,-70,24,4,51,,
239,-62,28,4423,60,,
240,-65,26,-672,60,,
241,-98,17,-452,51,,
242,-53,28,-71,60,,
243,-87,29,-551,60,,
244,-39,24,3524,51,,
245,-20,30,16581,60,,
246,-79,28,4254,60,,
247,-61,23,556,52,,
248,-2,38,1215,60,,
249,-80,22,1200,60,,
250,-29,28,1036,51,,
251,-96,21,70,60,,
252,-73,24,-689,60,,
253,-5,32,9689,51,,
254,-53,28,1292,60,,
255,-44,29,330,60,,
256,-73,19,-434,51,,
257,-32,31,7388,60,,
258,-53,29,865,60,,
259,-22,29,2988,52,,
260,-61,25,1763,60,,
261,-80,24,-582,60,,
262,-46,23,-375,51,,
263,-38,30,-347,60,,
264,-36,34,490,60,,
265,-21,30,3266,51,,
266,-44,32,3839,60,,
267,-53,33,267,60,,
268,-52,27,-401,51,,
269,-40,28,1553,60,,
270,-70,26,-461,60,,
271,-55,23,1556,51,,
272,-70,24,-486,61,,
273,-43,32,531,60,,
274,-72,23,-731,51,,
275,-76,27,-756,60,,
276,-64,23,-543,60,,
277,-35,26,1789,51,,
278,-54,37,-775,60,,
279,-31,35,15921,60,,
280,-67,23,-696,51,,
281,-53,26,439,60,,
282,11,37,8680,60,,
283,-63,18,534,51,,
284,-82,24,1370,60,,
285,-75,23,966,60,,
286,-36,24,2764,52,,
287,-74,25,-792,60,,
288,-14,33,5832,60,,
289,-34,28,-746,51,,
290,-48,28,1993,60,,
291,-25,35,-373,60,,
292,-48,27,2467,51,,
293,-76,25,-683,60,,
294,36,43,-131803,60,,
295,-87,19,-479,51,,
296,-26,30,1752,60,,
297,5,40,2627,60,,
298,-118,14,217,52,,
299,-36,32,3122,60,,
300,-84,27,-139,60,,
301,-43,21,-506,51,,
302,-13,34,14656,60,,
303,-98,21,-678,60,,
304,-36,25,7357,51,,
305,-72,26,-698,60,,
306,-20,30,-1525,60,,
307,-74,23,-567,51,,
308,-62,25,1987,60,,
309,-36,30,1295,60,,
310,-86,19,-153,52,,
311,-20,34,3359,60,,
312,-47,33,-392,60,,
313,-34,29,617,51,,
314,-89,20,-669,60,,
315,-53,32,-56,60,,
316,-89,16,-302,51,,
317,-48,32,-798,60,,
318,-4,34,10254,60,,
319,-38,24,1387,51,,
320,-62,36,-636,60,,
321,-27,34,210,60,,
322,-33,25,-83,51,,
323,-79,22,1114,60,,
324,-20,32,10724,60,,
325,-35,23,4664,52,,
326,-21,35,1303,60,,
327,-37,30,1044,60,,
328,-51,20,-145,51,,
329,-84,21,3530,60,,
330,-50,29,1646,60,,
331,-60,23,-262,51,,
332,-49,35,-601,60,,
333,-15,31,2490,60,,
334,-30,24,511,51,,
335,23,44,-1221,60,,
336,-1,41,15257,60,,
337,-47,24,4995,52,,
338,-53,33,84,60,,
339,-30,29,576,60,,
340,-26,28,4736,51,,
341,-76,27,480,60,,
342,-104,21,-663,60,,
343,-73,24,-277,51,,
344,-9,39,5450,60,,
345,-29,31,14144,60,,
346,-8,31,2734,51,,
347,-97,25,-327,60,,
348,-19,35,12342,60,,
349,-65,24,107,52,,
350,-22,35,8285,60,,
351,-48,29,190,60,,
352,-91,20,-323,51,,
353,17,38,-42326,60,,
354,-69,27,-142,60,,
355,-76,22,275,51,,
356,-54,31,-630,60,,
357,-41,30,3281,60,,
358,-33,24,755,51,,
359,-21,35,3398,60,,
360,-42,35,638,60,,
361,-68,19,377,51,,
362,-12,35,17237,61,,
363,-16,35,13788,60,,
364,-79,18,-536,51,,
365,-2,37,13422,60,,
366,12,39,-77246,60,,
367,-32,29,-635,51,,
368,-100,23,-602,60,,
369,-86,23,-369,60,,
370,-42,23,-178,51,,
371,-58,31,-164,60,,
372,-14,39,3904,60,,
373,-78,17,142,51,,
374,-77,25,106,60,,
375,-66,27,831,60,,
376,-79,22,1146,52,,
377,-12,38,2849,60,,
378,-65,23,-762,60,,
379,-30,28,1107,51,,
380,-17,39,1882,60,,
381,-44,31,663,60,,
382,-68,22,-631,51,,
383,-58,28,-315,60,,
384,-70,28,-10,60,,
385,-11,32,1451,51,,
386,-33,31,3539,60,,
387,-10,31,2262,60,,
388,-44,24,4610,52,,
389,-41,29,1069,60,,
390,-41,32,607,60,,
391,-10,32,19393,51,,
392,-22,34,1843,60,,
393,-36,30,191,60,,
394,-65,20,2216,51,,
395,-36,37,-781,60,,
396,-61,27,120,60,,
397,-5,26,3411,51,,
398,-26,33,213,60,,
399,-39,36,-117,60,,
400,-69,21,-286,52,,
401,-50,31,-579,60,,
402,-72,29,-810,60,,
403,-34,26,691,51,,
404,-32,32,471,60,,
405,-47,29,-705,60,,
406,-57,28,-679,51,,
407,-56,29,4324,60,,
408,-21,34,2554,60,,
409,-22,30,3473,51,,
410,-80,23,162,60,,
411,-39,32,589,60,,
412,-49,28,-67,51,,
413,-66,32,61,60,,
414,-15,32,6593,60,,
415,-101,18,-633,52,,
416,-73,25,-110,60,,
417,-87,25,-450,60,,
418,50,39,-166886,51,,
419,-75,28,58,60,,
420,-87,25,-589,60,,
421,-94,14,-491,51,,
422,-49,26,-164,60,,
423,-50,30,-617,60,,
424,-64,27,269,51,,
425,-63,33,873,60,,
426,-32,34,402,60,,
427,-58,22,561,52,,
428,-11,36,1744,60,,
429,-52,31,50,60,,
430,-84,17,-656,51,,
431,-54,29,1154,60,,
432,-38,29,3863,60,,
433,-55,19,-554,51,,
434,-45,27,588,60,,
435,-53,30,-675,60,,
436,-110,15,-324,51,,
437,-100,26,-335,60,,
438,-10,35,11964,60,,
439,-63,18,1098,52,,
440,-88,29,-527,60,,
441,-30,30,96,60,,
442,-123,12,-561,51,,
443,-45,34,-228,60,,
444,-96,19,-568,60,,
445,-82,17,71,51,,
446,-68,27,150,60,,
447,-15,35,7456,60,,
448,-42,30,-503,51,,
449,-65,27,336,60,,
450,-52,26,1151,60,,
451,-9,28,-700,51,,
452,-58,32,3166,61,,
453,-49,28,-360,60,,
454,-31,27,566,51,,
455,-86,21,-22,60,,
456,-70,28,-819,60,,
457,-13,34,2230,51,,
458,-72,23,-737,60,,
459,-27,30,10217,60,,
460,-20,25,16118,51,,
461,-87,22,-184,60,,
462,-85,24,-118,60,,
463,-43,22,1444,51,,
464,-55,27,408,60,,
465,-85,24,625,60,,
466,-69,20,13570,52,,
467,-25,34,-1453,60,,
468,-104,24,-309,60,,
469,-3,25,-10622,51,,
470,-5,35,-447,60,,
471,-29,35,664,60,,
472,-94,17,-569,51,,
473,-96,25,-24,60,,
474,-27,31,13118,60,,
475,-23,27,0,51,,
476,-34,35,119,60,,
477,-80,22,-126,60,,
478,-64,25,35,52,,
479,-79,22,17,60,,
480,-25,30,1679,60,,
481,-32,25,1279,51,,
482,-81,26,-698,60,,
483,-31,32,-402,60,,
484,-64,19,652,51,,
485,-72,23,1822,60,,
