Iteration Count,Setpoint Average,Rewards Harvested,Learning Rewards Given,Seconds Elapsed,,
1,0,0,0,0,,
2,-24,7,424,18,,
3,-21,70,25462,115,,
4,0,19,2561,34,,
5,-29,0,203,8,,
6,20,41,2636,53,,
7,-29,14,533,30,,
8,-29,4,294,14,,
9,-23,16,989,32,,
10,-25,5,957,15,,
11,9,13,2768,17,,
12,-21,13,1079,27,,
13,-23,13,2131,28,,
14,-13,39,18204,67,,
15,-23,5,2278,16,,
16,-12,20,6814,34,,
17,-26,16,1338,34,,
18,-21,11,803,24,,
19,-22,4,2013,14,,
20,2,20,3647,38,,
21,-18,22,15826,41,,
22,-28,4,450,14,,
23,-20,2,220,8,,
24,-24,11,1832,26,,
25,-24,52,7623,88,,
26,-30,2,262,11,,
27,-29,8,401,20,,
28,-19,6,2798,17,,
29,-20,3,216,8,,
30,-26,5,4559,16,,
31,-24,13,680,27,,
32,-22,7,672,19,,
33,-18,18,1842,35,,
34,-32,9,512,21,,
35,7,34,4950,51,,
36,-23,7,821,19,,
37,-15,27,3556,49,,
38,-23,13,2169,28,,
39,-28,7,544,19,,
40,-26,8,3576,20,,
41,3,26,1443,34,,
42,-26,3,381,12,,
43,-26,11,618,25,,
44,-19,41,4942,72,,
45,-24,16,826,32,,
46,-4,18,7540,34,,
47,-28,11,482,25,,
48,-19,6,903,17,,
49,-23,9,660,21,,
50,-8,8,4146,20,,
51,-12,26,4564,47,,
52,-26,10,734,23,,
53,-17,4,3651,14,,
54,-16,9,3751,22,,
55,-17,29,13581,52,,
56,-15,27,7931,49,,
57,-25,8,844,20,,
58,-19,7,1882,19,,
59,-14,3,446,8,,
60,-26,1,361,10,,
61,-8,13,10420,28,,
62,-28,1,253,10,,
63,-21,8,761,19,,
64,-20,2,1135,11,,
65,-29,10,420,23,,
66,-17,15,6292,31,,
67,-22,7,937,19,,
68,-20,4,2645,14,,
69,-1,4,1542,8,,
70,-23,18,3163,36,,
71,-12,9,1348,22,,
72,-33,2,209,11,,
73,-26,5,1555,15,,
74,-18,34,19490,60,,
75,-22,13,605,25,,
76,25,12,-20,11,,
77,-24,14,13922,29,,
78,-30,1,203,10,,
79,-27,15,829,31,,
80,-17,4,1466,14,,
81,-31,7,313,18,,
82,-14,19,4665,37,,
