Iteration Count,Setpoint Average,Rewards Harvested,Learning Rewards Given,Seconds Elapsed,,
1,0,0,0,0,,
2,-29,9,476,21,,
3,-27,3,281,13,,
4,-19,7,2458,18,,
5,-29,0,185,8,,
6,-34,11,368,25,,
7,-9,7,1223,18,,
8,-12,18,2163,35,,
9,-12,22,3585,34,,
10,-18,18,2015,35,,
11,-24,16,3185,32,,
12,-27,5,415,16,,
13,-23,2,557,11,,
14,-4,35,42270,60,,
15,-30,7,299,17,,
16,-17,29,2779,52,,
17,-30,0,181,8,,
18,-15,7,901,18,,
19,-27,4,315,14,,
20,-29,6,309,17,,
21,-21,3,568,12,,
22,-30,12,520,26,,
23,-25,5,602,16,,
24,0,5,808,8,,
25,-29,1,344,10,,
26,-26,6,343,17,,
27,-17,22,5779,42,,
28,-30,9,558,21,,
29,-30,4,300,14,,
30,-27,18,2003,35,,
31,-32,8,376,20,,
32,-12,5,497,8,,
33,-29,0,341,9,,
34,-21,12,1001,26,,
35,-26,8,456,20,,
36,-27,7,3535,18,,
37,-18,34,10660,59,,
38,-32,3,251,13,,
39,-12,10,3371,23,,
40,-27,21,1991,40,,
41,-31,2,215,11,,
42,-30,9,389,22,,
43,-25,10,6711,23,,
44,-31,7,337,18,,
45,-16,30,3196,54,,
46,-20,31,10344,55,,
47,-28,6,329,17,,
48,-18,6,1013,17,,
49,-32,3,238,13,,
50,-25,3,1757,13,,
51,-13,21,6270,39,,
52,10,10,13929,17,,
53,2,37,7273,60,,
54,-32,2,218,11,,
55,-17,14,3791,29,,
56,-33,2,208,11,,
57,-27,24,1100,44,,
58,-5,8,2751,17,,
59,-25,9,1285,21,,
60,-22,20,3987,38,,
61,-24,1,464,9,,
62,-24,4,518,14,,
63,-18,12,1205,26,,
64,-27,1,213,9,,
65,-11,30,5859,51,,
66,-29,5,350,16,,
67,-33,1,200,10,,
68,-28,13,2616,28,,
69,-22,4,455,14,,
70,-23,3,571,13,,
71,-32,14,473,29,,
72,-18,5,4540,16,,
73,-8,13,6045,27,,
74,-6,11,3638,17,,
75,-23,18,1034,35,,
76,-16,9,7198,22,,
77,-12,34,4894,59,,
78,-27,8,606,20,,
79,-26,4,329,14,,
80,-25,8,372,17,,
81,-28,2,288,11,,
82,-25,7,414,19,,
83,-21,16,2320,32,,
84,-31,6,299,17,,
85,-2,16,3752,32,,
86,-17,8,2400,20,,
87,-24,8,500,20,,
88,-13,8,6935,17,,
89,11,39,9389,60,,
90,-22,9,865,21,,
91,-25,2,585,11,,
92,-25,8,3574,20,,
93,-8,22,5076,41,,
94,-30,0,184,8,,
95,0,5,1912,8,,
96,-13,11,6603,25,,
97,-25,9,716,22,,
98,-34,5,256,16,,
99,-10,40,8534,60,,
100,-1,34,5069,51,,
101,-16,5,1854,15,,
102,-20,16,1378,32,,
103,-26,4,552,14,,
104,-24,19,7274,37,,
105,-19,12,2695,26,,
106,-18,12,2045,26,,
107,-29,4,304,14,,
108,-3,3,692,8,,
109,-18,5,4780,16,,
110,-30,12,461,26,,
111,-26,3,273,12,,
112,-33,7,302,18,,
113,-15,9,2197,21,,
114,-17,11,5897,23,,
115,-14,16,3264,33,,
