Iteration Count,Setpoint Average,Rewards Harvested,Learning Rewards Given,Seconds Elapsed,,
1,0,0,0,0,,
2,-22,29,3495,34,,
3,23,12,386,10,,
4,31,7,16,3,,
5,12,25,2948,30,,
6,27,14,541,13,,
7,29,17,957,18,,
8,-30,4,611,14,,
9,22,15,525,12,,
10,26,16,569,16,,
11,17,11,280,9,,
12,-3,4,361,8,,
13,24,13,231,9,,
14,22,26,2831,30,,
15,20,20,1658,22,,
16,28,26,2495,29,,
17,22,18,987,18,,
18,15,17,1384,18,,
19,19,11,201,8,,
20,1,24,2586,26,,
21,-3,5,414,8,,
22,22,31,5382,38,,
23,34,8,43,4,,
24,29,11,214,9,,
25,22,18,782,16,,
26,27,14,496,13,,
27,18,19,2195,21,,
28,33,19,1265,21,,
29,14,12,321,10,,
30,11,27,3208,33,,
31,-22,3,238,8,,
32,17,17,1990,16,,
33,13,11,277,9,,
34,22,35,5096,41,,
35,27,15,852,15,,
36,15,19,1686,21,,
37,17,24,2462,27,,
38,1,15,971,15,,
39,24,15,699,15,,
40,28,10,112,6,,
41,-10,4,261,8,,
42,10,18,1290,20,,
43,18,15,1133,15,,
44,22,17,952,18,,
45,8,17,1218,18,,
46,18,12,925,10,,
47,-10,23,2272,27,,
48,7,24,2749,28,,
49,9,24,2344,26,,
50,32,9,97,6,,
51,22,12,223,8,,
52,22,9,119,6,,
53,7,17,1271,18,,
54,11,15,708,15,,
55,12,17,1071,17,,
56,6,17,1051,18,,
57,23,22,1617,22,,
58,15,30,4436,37,,
59,20,17,1221,17,,
60,3,11,295,9,,
61,25,16,765,16,,
62,17,22,1879,24,,
63,36,10,82,6,,
64,15,15,786,14,,
65,27,17,869,17,,
66,-28,3,552,13,,
67,6,38,-289924211,48,,
68,9,16,436,12,,
69,-8,10,1037,17,,
70,21,16,692,15,,
71,27,12,237,9,,
72,-11,19,1367,21,,
73,5,25,2159,26,,
74,11,13,800,12,,
75,-1,28,4101,35,,
76,29,13,534,9,,
77,15,24,2725,28,,
78,1,11,1336,17,,
79,12,15,701,15,,
80,17,29,4140,36,,
81,11,29,4129,36,,
82,35,23,1888,26,,
83,-15,38,11318,59,,
84,12,17,1108,18,,
85,15,20,1657,22,,
86,23,15,521,13,,
87,28,14,591,10,,
88,16,15,534,13,,
89,18,13,472,12,,
90,5,33,6837,42,,
91,13,21,2051,24,,
92,28,10,140,7,,
93,12,7,263,8,,
94,14,29,4956,35,,
95,37,11,145,8,,
96,37,8,13,3,,
97,-9,21,1774,24,,
98,12,22,1982,24,,
99,22,9,106,6,,
100,28,14,357,13,,
101,27,26,2809,31,,
102,30,7,27,3,,
103,14,22,2182,24,,
104,19,13,547,12,,
105,24,17,1076,18,,
106,18,16,691,14,,
107,23,15,654,15,,
108,-4,41,9257,52,,
109,14,19,1412,21,,
110,22,14,396,10,,
111,29,19,1276,21,,
112,3,6,377,8,,
113,15,10,215,8,,
114,2,19,1430,21,,
115,20,16,798,16,,
116,11,13,1884,12,,
117,27,19,1194,20,,
118,18,14,572,12,,
119,18,14,468,12,,
120,13,16,1005,16,,
121,12,27,3830,31,,
122,23,7,22,3,,
123,22,14,336,11,,
124,14,9,863,8,,
125,8,15,721,15,,
126,11,19,1437,21,,
127,32,11,217,9,,
128,19,19,1500,21,,
129,12,42,9003,54,,
130,14,25,2900,29,,
131,23,13,510,11,,
132,-2,6,423,8,,
133,12,18,1424,19,,
134,22,15,903,15,,
135,15,13,556,11,,
136,12,23,2123,24,,
137,15,41,8588,53,,
138,-28,2,384,11,,
139,30,14,366,11,,
140,39,8,12,4,,
141,14,17,1281,18,,
142,3,8,858,8,,
143,15,30,3669,35,,
144,-2,43,10425,57,,
145,23,12,556794780,10,,
146,19,10,123,6,,
147,4,26,3154,31,,
148,12,11,312,8,,
149,14,13,479,12,,
150,22,8,231,8,,
151,20,32,5222,40,,
152,3,21,4224,24,,
153,13,11,882,9,,
154,34,12,149,10,,
155,6,40,11731,60,,
156,30,10,84,6,,
157,21,20,1441,21,,
158,25,22,2034,26,,
159,18,19,1569,21,,
160,14,12,436,10,,
161,22,9,107,6,,
162,28,8,38,4,,
163,13,37,11476,60,,
164,-13,31,5740,42,,
165,-3,26,3130,32,,
166,14,22,2013,25,,
167,22,15,622,14,,
168,31,13,187,8,,
169,23,15,722,14,,
170,-1,40,11427,60,,
171,18,13,1088,17,,
172,3,27,4281,33,,
173,10,24,2333,26,,
174,11,17,1020,18,,
175,17,20,1696,21,,
176,23,14,431,12,,
177,35,10,-1082,7,,
178,18,24,2411,28,,
179,25,23,2003,25,,
180,3,25,3120,31,,
181,24,21,1577,23,,
182,-4,42,11454,60,,
183,22,37,7199,48,,
184,5,7,275,8,,
185,18,14,895,14,,
186,16,9,137,6,,
187,5,19,1368,21,,
188,15,13,794,11,,
189,26,18,1179,18,,
190,11,18,1246,18,,
191,-10,37,7744,49,,
192,22,11,555,9,,
193,30,8,26,3,,
194,28,12,487,10,,
195,-2,6,311,8,,
